#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-10-30T19:26:32 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-10-30T19:26:32	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-out.src=VII/257/2mig&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VII/257/2mig&-out=2MIG&-out=2M&-out=RAJ2000&-out=DEJ2000&-out=Name&-out=r&-out=Ksmag&-out=2s&-out=HRV&-out=T&-out=N&-out=Comm&-out=NED&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7257
#Name: VII/257
#Title: 2MASS-selected Isolated Galaxies (2MIG) (Karachentseva+, 2010)
#INFO	ivoid=ivo://cds.vizier/vii/257	    IVOID of underlying data collection
#INFO	creator=Karachentseva V.E.	    First author or institution
#INFO	cites=bibcode:2010AstBu..65....1K	    Article or Data origin sources
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/257	    Dataset landing page
#INFO	publication_date=2018-01-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_257_2mig:
#Name: VII/257/2mig
#Title: 2MASS-selected Isolated Galaxies Catalog (2MIG)
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	2MIG	(I4)	Galaxy number	[ucd=meta.id;meta.main]
#Column	2M	(A2)	Display the 2MASSX data (Cat. VII/233)	[ucd=meta.ref.url]
#Column	RAJ2000	(A11)	Right Ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	Name	(a16)	Galaxy name in the known catalogs	[ucd=meta.id]
#Column	r	(F5.1)	K-band fiducial elliptical Kron radius	[ucd=phys.angSize;em.IR.K]
#Column	Ksmag	(F5.2)	Ks-band fiducial elliptical Kron magnitude	[ucd=phot.mag;em.IR.K]
#Column	2s	(I3)	Dimensionless "separation" between isolated galaxy and its nearest significant neighbour	[ucd=pos.angDistance]
#Column	HRV	(I5)	? Heliocentric radial velocity taken from LEDA or NED databases	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	T	(I2)	Morphological type in de Vaucouleurs' scale (T=-2 is any elliptical galaxies)	[ucd=src.morph.type]
#Column	N	(I1)	? Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS (1)	[ucd=meta.number]
#Column	Comm	(a34)	? Comments (2)	[ucd=meta.note]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
_RAJ2000	_DEJ2000	2MIG	2M	RAJ2000	DEJ2000	Name	r	Ksmag	2s	HRV	T	N	Comm	NED
deg	deg	 	 	"h:m:s"	"d:m:s"	 	arcsec	mag	 	km/s	 	 	 	
-----------	-----------	----	--	-----------	-----------	----------------	-----	-----	---	-----	--	-	----------------------------------	---
000.1045000	 +7.8538333	   1	2M	00 00 25.08	+07 51 13.8	UGC12892        	 23.7	11.12	 66	     	 2	 	Bar,ring                          	NED
000.2440833	-33.6119167	   2	2M	00 00 58.58	-33 36 42.9	ESO349-017      	 21.6	11.55	 61	 6909	 5	 	Vc                                	NED
000.4679167	+40.3363611	   3	2M	00 01 52.30	+40 20 10.9	UGC12917        	 20.9	11.62	 95	     	 3	2	Bar,ring                          	NED
000.5130833	-45.3580000	   4	2M	00 02 03.14	-45 21 28.8	PGC130018       	 17.9	11.51	 76	11639	 3	 	                                  	NED
000.7735417	 -1.9137500	   5	2M	00 03 05.65	-01 54 49.5	UGC00005        	 30.1	10.34	 99	 7296	 4	1	Bar,HII,KIG1,IRAS                 	NED
000.9529583	-43.6182778	   6	2M	00 03 48.71	-43 37 05.8	PGC262          	 18.8	11.73	 74	 9076	 2	 	AM0001-435                        	NED
001.0449167	-13.2219444	   7	2M	00 04 10.78	-13 13 19.0	PGC941042       	 17.2	11.89	 63	11710	 3	2	                                  	NED
001.2723333	 -7.0934167	   8	2M	00 05 05.36	-07 05 36.3	IC1528          	 41.4	10.39	 94	 3768	 3	2	HII                               	NED
001.3050833	-11.5025833	   9	2M	00 05 13.22	-11 30 09.3	IC1529          	 21.9	10.37	113	 6751	 0	2	Pec,ring                          	NED
001.4279583	-75.7069722	  10	2M	00 05 42.71	-75 42 25.1	ESO028-009      	 26.6	11.07	106	 6042	 4	1	IRAS                              	NED
002.0610833	 +7.7801944	  11	2M	00 08 14.66	+07 46 48.7	UGC00067        	 32.1	10.40	 78	11833	 2	 	Ring                              	NED
002.1428333	-10.9494167	  12	2M	00 08 34.28	-10 56 57.9	MCG-02-01-028   	 20.5	11.84	101	 9109	 2	1	Bar,ring                          	NED
002.1438750	-33.8583056	  13	2M	00 08 34.53	-33 51 29.9	NGC0010         	 56.0	 9.48	 67	 6806	 3	 	Bar,IRAS,Vc                       	NED
002.1770417	+37.4478611	  14	2M	00 08 42.49	+37 26 52.3	NGC0011         	 43.0	 9.98	181	 4390	 1	2	IRAS                              	NED
002.2279583	+23.8169167	  15	2M	00 08 54.71	+23 49 00.9	NGC0009         	 22.2	11.80	125	 4527	 3	 	Pec,HII,KIG6,IRAS                 	NED
002.2602500	+21.6244167	  16	2M	00 09 02.46	+21 37 27.9	NGC0015         	 26.9	10.42	 64	 6330	 1	1	                                  	NED
002.2643750	-32.9141389	  17	2M	00 09 03.45	-32 54 50.9	ESO349-033      	 26.0	10.99	 61	 6892	 3	2	IRAS                              	NED
002.2675417	+10.9189167	  18	2M	00 09 04.21	+10 55 08.1	UGC00081        	 29.3	10.72	 76	 6674	 3	3	                                  	NED
002.4855833	-24.9631111	  19	2M	00 09 56.54	-24 57 47.2	NGC0024         	 83.0	 9.22	147	  554	 5	 	IRAS                              	NED
002.5671250	+32.1061944	  20	2M	00 10 16.11	+32 06 22.3	CGCG499-061     	 15.3	11.72	 71	19372	 3	1	                                  	NED
002.7533750	-12.8223889	  21	2M	00 11 00.81	-12 49 20.6	IC0002          	 20.3	11.24	 80	 6775	 2	 	IRAS                              	NED
002.7764167	 +2.6779444	  22	2M	00 11 06.34	+02 40 40.6	CGCG382-030     	 21.4	11.58	 72	12760	 4	 	Ring,KIG7                         	NED
