#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:10:27 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:10:28	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/900/124/table1&-order=I&-out=Seq&-out=Name&-out=PGC&-out=fGroup&-out=Dist&-out=DDist&-out=AvgDist&-out=GDist&-out=RAJ2000&-out=DEJ2000&-out.all=2&-out=Class&-out=HType&-out=NUV-B&-out=logMgal&-out=logSFR&-out=Sigma&-out=e_Sigma&-out=logLHa&-out=n_logLHa&-out=logMBHsig&-out=b_logMBHsig&-out=B_logMBHsig&-out=logMBHgal&-out.all=2&-out=b_logMBHgal&-out=B_logMBHgal&-out=NH0&-out=PapI&-out=ObsID&-out=Inst&-out=Exp&-out=Offset&-out=fAGN&-out=H0&-out=e_H0&-out=H1&-out=e_H1&-out.all=2&-out=H2&-out=e_H2&-out=NH-HR&-out=b_NH-HR&-out=B_NH-HR&-out=F2-10keV&-out=b_F2-10keV&-out=B_F2-10keV&-out=logLXlim&-out=logLX&-out=b_logLX&-out=B_logLX&-out=logEdd&-out.all=2&-out=b_logEdd&-out=B_logEdd&-out=Model&-out=Norm1&-out=logL1&-out=Norm2&-out=logL2&-out=NH&-out=b_NH&-out=B_NH&-out=Gam&-out=b_Gam&-out=B_Gam&-out=Temp&-out=b_Temp&-out=B_Temp&-out=Chi2&-out=DOF&-out=Note&-out=SimbadName&-out=NED&NED=NED&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19000124
#Name: J/ApJ/900/124
#Title: Galaxies within 150Mpc observed with Chandra (Bi+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/900/124	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/900/124	    IVOID of underlying data collection
#INFO	creator=Bi S.	    First author or institution
#INFO	cites=bibcode:2020ApJ...900..124B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/900/124	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19000124	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-10-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_900_124_table1:
#Name: J/ApJ/900/124/table1
#Title: General information for galaxies and AGNs in our sample
#Column	Seq	(I4)	[1/1964] Running sequence number	[ucd=meta.id]
#Column	Name	(a28)	Common name of the galaxy	[ucd=meta.id;meta.main]
#Column	PGC	(I7)	[101/3097920]? PGC number of the galaxy	[ucd=meta.id]
#Column	fGroup	(A1)	In Tully (2015, J/AJ/149/171) or not (Y=Yes; 1557 occurrences)	[ucd=meta.code]
#Column	Dist	(F6.2)	[0.03/149] Distance used in the catalog	[ucd=pos.distance;pos.heliocentric]
#Column	DDist	(F6.2)	[0.03/149]? Direct distance	[ucd=pos.distance;pos.heliocentric]
#Column	AvgDist	(F6.2)	[3.18/147]? Group mean direct distance	[ucd=pos.distance;pos.heliocentric]
#Column	GDist	(F6.2)	[0.86/218]? Group redshift distance (1)	[ucd=pos.distance;pos.heliocentric]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Class	(a9)	Nuclear spec. classification (2)	[ucd=meta.code.class]
#Column	HType	(a22)	Hubble type quoted in NED	[ucd=meta.note;src.morph.type]
#Column	NUV-B	(F5.2)	[0.4/7.3]? (NUV-B) color index (3)	[ucd=phot.color;em.UV;em.opt]
#Column	logMgal	(F5.2)	[7.7/11.9]? Log of host galaxy mass	[ucd=phys.mass]
#Column	logSFR	(F5.2)	[0.01/2.1]? Log of host star formation rate	[ucd=meta.id]
#Column	Sigma	(F5.1)	[4/478]? Central velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_Sigma	(F5.1)	[1/132]? Error of sigma	[ucd=stat.error]
#Column	logLHa	(F5.2)	[34.9/41.53]? Log of Halpha luminosity (4)	[ucd=phys.luminosity;em.line.Halpha]
#Column	n_logLHa	(A2)	Note of logLHa (5)	[ucd=meta.note]
#Column	logMBHsig	(F5.2)	[2.8/10.3]? Log of black hole mass (6)	[ucd=phys.mass]
#Column	b_logMBHsig	(F5.2)	[1.2/10.2]? Lower limit of logMBHsig	[ucd=phys.mass;stat.min]
#Column	B_logMBHsig	(F5.2)	[3.5/10.4]? Upper limit of logMBHsig	[ucd=phys.mass;stat.max]
#Column	logMBHgal	(F5.2)	[2.3/9.6]? Log of black hole mass (7)	[ucd=phys.mass]
#Column	b_logMBHgal	(F5.2)	[1.65/9]? Lower limit of logMBHgal	[ucd=phys.mass;stat.min]
#Column	B_logMBHgal	(F5.2)	[2.95/10.3]? Upper limit of logMBHgal	[ucd=phys.mass;stat.max]
#Column	NH0	(F7.4)	[0.0047/0.77] Galactic absorption	[ucd=phys.columnDensity]
#Column	PapI	(I3)	[1/719]? Galaxy number in Paper I (She+, 2017, J/ApJ/835/223)	[ucd=meta.id.cross]
#Column	ObsID	(I5)	[80/21091] Chandra observation ID	[ucd=meta.id;obs]
#Column	Inst	(A6)	Chandra instrument	[ucd=instr]
#Column	Exp	(F5.1)	[1/190] Exposure time of the observation	[ucd=time.duration;obs.exposure]
#Column	Offset	(F5.2)	[0.02/2.61]? Offset to galaxy center	[ucd=pos.angDistance;arith.diff]
#Column	fAGN	(A1)	AGN flag: Y=Yes	[ucd=meta.code]
#Column	H0	(F8.5)	[-1.01/0.98]? Hardness ratio H0 (8)	[ucd=phot.flux;arith.ratio]
#Column	e_H0	(F8.5)	[0.0014/1.17]? Error of H0	[ucd=stat.error]
#Column	H1	(F8.5)	[-0.74/0.88]? Hardness ratio H1 (8)	[ucd=phot.flux;arith.ratio]
#Column	e_H1	(F8.5)	[0.0028/0.84]? Error of H1	[ucd=stat.error]
#Column	H2	(F8.5)	[-0.77/0.98]? Hardness ratio H2 (8)	[ucd=phot.flux;arith.ratio]
#Column	e_H2	(F8.5)	[0.0014/1.15]? Error of H2	[ucd=stat.error]
#Column	NH-HR	(F5.2)	[0.01/12]? Extragalactic NH from HR (9)	[ucd=phys.columnDensity]
#Column	b_NH-HR	(F5.2)	[0/8.02]? Lower limit of NH-HR	[ucd=phys.columnDensity;stat.min]
#Column	B_NH-HR	(F5.2)	[0.01/26.4]? Upper limit of NH-HR	[ucd=phys.columnDensity;stat.max]
#Column	F2-10keV	(F8.2)	[0.04/46000]? Observed flux in 2-10keV	[ucd=phot.flux;em.X-ray]
#Column	b_F2-10keV	(F8.2)	[0.0/39000]? Lower limit of F2-10keV	[ucd=phot.flux;em.X-ray;stat.min]
#Column	B_F2-10keV	(F9.2)	[0.01/309221]? Upper limit of F2-10keV	[ucd=phot.flux;em.X-ray;stat.max]
#Column	logLXlim	(F5.2)	[32.26/41.5] Log 2-10keV limiting luminosity	[ucd=phys.luminosity;em.X-ray;stat.max]
#Column	logLX	(F5.2)	[35.94/45.7]? Log of 2-10keV luminosity	[ucd=phys.luminosity]
#Column	b_logLX	(F5.2)	[35.8/43.4]? Lower limit of LogLX	[ucd=phys.luminosity;stat.min]
#Column	B_logLX	(F5.2)	[30.48/44]? Upper limit of LogLX	[ucd=phys.luminosity;stat.max]
#Column	logEdd	(F5.2)	[-8/-0.25]? Log of Eddington ratio (10)	[ucd=phys.luminosity;arith.ratio]
#Column	b_logEdd	(F6.2)	[-46.31/0.54]? Lower limit of logEdd	[ucd=phys.luminosity;arith.ratio;stat.min]
#Column	B_logEdd	(F6.2)	[-46.12/43.77]? Upper limit of logEdd	[ucd=phys.luminosity;arith.ratio;stat.max]
#Column	Model	(a13)	? Best fit model (11)	[ucd=stat.param;meta.modelled]
#Column	Norm1	(F5.2)	[-6.2/-2.18]? Log power-law normalization (12)	[ucd=stat.fit.param]
#Column	logL1	(F6.2)	[-12.5/95]? Log power-law luminosity (13)	[ucd=phys.luminosity]
#Column	Norm2	(F5.2)	[-7.1/-0.97]? Log normalization of the 2nd component (12)	[ucd=stat.fit.param]
#Column	logL2	(F6.2)	[-27.1/43.3]? Log luminosity for the 2nd component (13)	[ucd=phys.luminosity]
#Column	NH	(F6.2)	[0/430]? Extragalactic absorption	[ucd=phys.columnDensity]
#Column	b_NH	(F6.2)	[0/360]? Lower limit of NH	[ucd=phys.columnDensity;stat.min]
#Column	B_NH	(F7.2)	[0.02/1685]? Upper limit of NH	[ucd=phys.columnDensity;stat.max]
#Column	Gam	(F5.2)	[0.35/4.3]? Power-law photon index	[ucd=meta.code;spect.index]
#Column	b_Gam	(F5.2)	[-3/3.2]? Lower limit of Gam (14)	[ucd=meta.note]
#Column	B_Gam	(F5.2)	[0.56/10]? Upper limit of Gam (14)	[ucd=meta.note]
#Column	Temp	(F5.2)	[0.02/80]? Temperature of mekal or bbody	[ucd=phys.temperature]
#Column	b_Temp	(F5.2)	[0.02/1.8]? Lower limit of Temp	[ucd=phys.temperature;stat.min]
#Column	B_Temp	(F5.2)	[0.03/3]? Upper limit of Temp	[ucd=phys.temperature;stat.max]
#Column	Chi2	(F5.1)	[0.2/654.3]? Chi-square	[ucd=stat.fit.chi2]
#Column	DOF	(I3)	[2/493]? Degree of freedom	[ucd=stat.fit.dof]
#Column	Note	(a13)	Note on luminosity (15)	[ucd=meta.note]
#Column	SimbadName	(a28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
Seq	Name	PGC	fGroup	Dist	DDist	AvgDist	GDist	RAJ2000	DEJ2000	Class	HType	NUV-B	logMgal	logSFR	Sigma	e_Sigma	logLHa	n_logLHa	logMBHsig	b_logMBHsig	B_logMBHsig	logMBHgal	b_logMBHgal	B_logMBHgal	NH0	PapI	ObsID	Inst	Exp	Offset	fAGN	H0	e_H0	H1	e_H1	H2	e_H2	NH-HR	b_NH-HR	B_NH-HR	F2-10keV	b_F2-10keV	B_F2-10keV	logLXlim	logLX	b_logLX	B_logLX	logEdd	b_logEdd	B_logEdd	Model	Norm1	logL1	Norm2	logL2	NH	b_NH	B_NH	Gam	b_Gam	B_Gam	Temp	b_Temp	B_Temp	Chi2	DOF	Note	SimbadName	NED
 	 	 	 	Mpc	Mpc	Mpc	Mpc	"h:m:s"	"d:m:s"	 	 	mag	[Msun]	[Msun/yr]	km/s	km/s	[10-7W]	 	[Msun]	[Msun]	[Msun]	[Msun]	[Msun]	[Msun]	10-22cm-2	 	 	 	ks	arcsec	 	 	 	 	 	 	 	10-22cm-2	10-22cm-2	10-22cm-2	10-14mW/m2	10-14mW/m2	10-14mW/m2	[10-7W]	[10-7W]	[10-7W]	[10-7W]	[-]	[-]	[-]	 	[-]	[10-7W]	[-]	[10-7W]	10-22cm-2	10-22cm-2	10-22cm-2	 	 	 	keV	keV	keV	 	 	 	 	
----	----------------------------	-------	-	------	------	------	------	-----------	------------	---------	----------------------	-----	-----	-----	-----	-----	-----	--	-----	-----	-----	-----	-----	-----	-------	---	-----	------	-----	-----	-	--------	--------	--------	--------	--------	--------	-----	-----	-----	--------	--------	---------	-----	-----	-----	-----	-----	------	------	-------------	-----	------	-----	------	------	------	-------	-----	-----	-----	-----	-----	-----	-----	---	-------------	----------------------------	---
   1	2MASS J02494822-3108080     	  10733	Y	 97.13	      	 97.13	 98.71	02 49 48.25	-31 08 09.93	         	S                     	     	10.51	     	     	     	     	  	     	     	     	     	     	     	 0.0237	   	10537	ACIS-S	 37.3	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.38	39.37	     	     	38.93	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 10733                   	NED
   2	2MASX J00445922-0853228     	 170001	Y	 80.43	      	      	 80.43	00 44 59.22	-08 53 22.81	         	                      	     	10.50	     	203.8	 21.1	     	  	 8.35	 8.11	 8.57	     	     	     	 0.0281	   	10266	ACIS-I	  9.9	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.01	39.89	     	     	39.19	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 170001                  	NED
   3	2MASX J01093781-4553520     	  73688	Y	121.00	121.00	107.10	 98.57	01 09 37.82	-45 53 52.01	         	S0                    	     	10.84	     	     	     	     	  	     	     	     	     	     	     	 0.0196	   	 4971	ACIS-I	 24.8	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.33	40.11	     	     	40.08	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 73688                   	NED
   4	2MASX J01094729-4552409     	  73695	 	 83.60	 83.60	      	      	01 09 47.29	-45 52 40.94	         	                      	     	     	     	     	     	     	  	     	     	     	     	     	     	 0.0196	   	 4971	ACIS-I	 24.8	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.34	39.64	     	     	39.07	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 73695                   	NED
   5	2MASX J01100153-4558074     	  93352	 	 76.60	 76.60	      	      	01 10 01.53	-45 58 07.43	         	                      	     	     	     	     	     	     	  	     	     	     	     	     	     	 0.0187	   	 4971	ACIS-I	 24.8	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.01	39.48	     	     	38.71	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 93352                   	NED
   6	2MASX J01101802-4555584     	  93357	 	135.00	135.00	      	      	01 10 18.03	-45 55 58.46	         	                      	     	     	     	     	     	     	  	     	     	     	     	     	     	 0.0188	   	 4971	ACIS-I	 24.8	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.01	40.05	     	     	39.47	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 93357                   	NED
   7	2MASX J01255244-0115594     	  73958	 	 59.70	 59.70	      	      	01 25 52.44	-01 15 59.43	         	                      	     	     	     	 97.0	  4.8	     	  	 6.68	 6.56	 6.78	     	     	     	 0.0395	   	 7823	ACIS-S	 64.8	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.02	38.86	     	     	38.32	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 73958                   	NED
   8	2MASX J01262180-0531575     	 170011	 	128.00	128.00	      	      	01 26 21.81	-05 31 57.52	         	                      	     	     	     	     	     	     	  	     	     	     	     	     	     	 0.0404	   	19728	ACIS-S	  3.1	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.11	40.65	     	     	40.12	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 170011                  	NED
   9	2MASX J02161335+7041194     	 138040	Y	 45.29	      	      	 45.29	02 16 13.36	+70 41 19.42	         	                      	     	11.00	     	     	     	     	  	     	     	     	     	     	     	 0.3331	   	16293	ACIS-I	 24.8	     	 	        	        	        	        	        	        	     	     	 0.06	        	        	     3.42	39.31	     	     	40.32	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	HR           	PGC 138040                  	NED
  10	2MASX J02230343+4254461     	3097117	Y	 65.50	      	 65.50	 80.00	02 23 03.44	+42 54 46.16	         	                      	     	10.29	     	     	     	     	  	     	     	     	     	     	     	 0.0761	   	  828	ACIS-S	 44.0	     	 	        	        	        	        	        	        	     	     	     	        	        	         	38.87	     	     	     	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 3097117                 	NED
  11	2MASX J02331076-0748131     	1012801	 	140.00	140.00	      	      	02 33 10.77	-07 48 13.19	         	                      	     	     	     	     	     	     	  	     	     	     	     	     	     	 0.0312	   	15017	ACIS-S	  9.9	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.01	40.18	     	     	39.83	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 1012801                 	NED
  12	2MASX J02492990-3109249     	  10700	 	112.00	112.00	      	      	02 49 29.91	-31 09 24.94	         	                      	     	     	     	     	     	     	  	     	     	     	     	     	     	 0.0237	   	10537	ACIS-S	 37.3	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.32	39.49	     	     	39.06	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 10700                   	NED
  13	2MASX J02493200-3110229     	  10702	 	119.00	119.00	      	      	02 49 32.01	-31 10 22.94	         	                      	     	     	     	     	     	     	  	     	     	     	     	     	     	 0.0238	   	10537	ACIS-S	 37.3	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.01	39.56	     	     	39.01	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 10702                   	NED
  14	2MASX J02493349-3107159     	  10706	 	 97.30	 97.30	      	      	02 49 33.49	-31 07 15.95	         	S                     	     	     	     	     	     	     	  	     	     	     	     	     	     	 0.0235	   	10537	ACIS-S	 37.3	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.21	39.39	     	     	39.15	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 10706                   	NED
  15	2MASX J02493933-3112169     	  74222	 	106.00	106.00	      	      	02 49 39.33	-31 12 16.95	         	                      	     	     	     	     	     	     	  	     	     	     	     	     	     	 0.0239	   	10537	ACIS-S	 37.3	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.11	39.57	     	     	39.25	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 74222                   	NED
  16	2MASX J02495627-3107599     	  10746	 	131.00	131.00	      	      	02 49 56.27	-31 07 59.97	         	S0                    	     	     	     	     	     	     	  	     	     	     	     	     	     	 0.0236	   	10537	ACIS-S	 37.3	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.23	39.80	     	     	39.30	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 10746                   	NED
  17	2MASX J02543036+4136380     	 197768	Y	 75.00	      	      	 75.00	02 54 30.37	+41 36 38.01	         	                      	     	10.38	     	     	     	     	  	     	     	     	 7.11	 6.46	 7.76	 0.0871	   	  908	ACIS-I	 47.9	 0.40	Y	-0.48012	 0.65186	-0.00815	 0.62097	-0.23926	 0.63984	 0.01	 0.21	 1.61	    0.39	    0.17	     0.61	39.91	39.44	38.93	39.78	-4.57	 -5.08	 -4.23	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	HR           	PGC 197768                  	NED
  18	2MASX J02571774+0558473     	  11160	Y	100.63	      	100.63	103.29	02 57 17.74	+05 58 47.30	         	                      	     	10.68	     	197.9	 17.1	     	  	 8.29	 8.08	 8.47	     	     	     	 0.0834	   	 4181	ACIS-I	 21.5	     	 	        	        	        	        	        	        	     	     	     	        	        	     1.06	40.35	     	     	40.00	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 11160                   	NED
  19	2MASX J02575062+0603075     	  74260	Y	100.63	      	100.63	103.29	02 57 50.63	+06 03 07.57	         	                      	     	10.58	     	188.6	 24.4	     	  	 8.18	 7.86	 8.45	     	     	     	 0.0834	   	 4181	ACIS-I	 21.5	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.38	39.81	     	     	39.30	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 74260                   	NED
  20	2MASX J03005104+4448250     	2252434	Y	134.29	      	      	134.29	03 00 51.04	+44 48 25.05	         	                      	     	11.03	     	     	     	     	  	     	     	     	 8.29	 7.64	 8.94	 0.1489	   	12958	ACIS-S	  7.4	 1.51	Y	-0.44716	 0.25035	 0.19570	 0.21520	-0.19716	 0.24511	     	     	 0.69	    2.46	    1.28	     4.20	40.57	40.77	40.33	41.09	-4.42	 -4.86	 -4.11	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	HR           	PGC 2252434                 	NED
  21	2MASX J03170026+4043412     	2170055	Y	 76.30	      	 76.30	117.43	03 17 00.27	+40 43 41.27	         	                      	     	10.50	     	     	     	     	  	     	     	     	     	     	     	 0.1184	   	17258	ACIS-I	  5.0	     	 	        	        	        	        	        	        	     	     	     	        	        	     1.94	40.13	     	     	39.97	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 2170055                 	NED
  22	2MASX J03172790+4129165     	  12223	Y	 62.50	      	 62.50	 75.43	03 17 27.91	+41 29 16.50	         	                      	     	10.29	     	     	     	     	  	     	     	     	     	     	     	 0.1283	   	 9097	ACIS-S	 34.7	     	 	        	        	        	        	        	        	     	     	     	        	        	     0.21	39.54	     	     	38.63	     	      	      	             	     	      	     	      	      	      	       	     	     	     	     	     	     	     	   	G1.8         	PGC 12223                   	NED
