#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:42:08 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:42:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/MNRAS/483/5554/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/483/5554/catalog&-out=SrcID&-out=IAUName&-out=OBS-ID&-out=MJD-Start&-out=RAJ2000&-out=DEJ2000&-out=CREP8&-out=EPHR1&-out=EPHR2&-out=EPHR3&-out=EPHR4&-out=NameRC3&-out=RV&-out=BTmag&-out=T&-out=FIRmag&-out=H21mag&-out=HI&-out=NameNED&-out=zNED&-out=DistBest&-out=EP8L&-out=IN-W11&-out=IS-COM39&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74835554
#Name: J/MNRAS/483/5554
#Title: Non-nuclear X-ray sources in nearby galaxies (Earnshaw+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/483/5554	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/483/5554	    IVOID of underlying data collection
#INFO	creator=Earnshaw H.P.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.483.5554E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/483/5554	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74835554	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_483_5554_catalog:
#Name: J/MNRAS/483/5554/catalog
#Title: Extragalactic X-ray source catalogue
#Column	SrcID	(I6)	3XMM Source ID (SRCID)	[ucd=meta.id;meta.main]
#Column	IAUName	(A21)	3XMM IAU Name (IAUNAME)	[ucd=meta.id]
#Column	OBS-ID	(A10)	3XMM observation identification (OBS_ID)	[ucd=meta.id;obs.param;obs]
#Column	MJD-Start	(F10.4)	3XMM MJD date of start of observation (MJD_START)	[ucd=time.epoch]
#Column	RAJ2000	(F9.5)	3XMM corrected detection Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	3XMM corrected detection Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	CREP8	(F9.6)	3XMM mean 0.2-12keV count rate (EP_8_RATE)	[ucd=phot.count;em.X-ray]
#Column	EPHR1	(F9.6)	? 3XMM mean hardness ratio, bands 1 and 2 (EP_HR1)	[ucd=phot.flux;stat.mean]
#Column	EPHR2	(F9.6)	? 3XMM mean hardness ratio, bands 2 and 3 (EP_HR2)	[ucd=phot.flux;stat.mean]
#Column	EPHR3	(F9.6)	? 3XMM mean hardness ratio, bands 3 and 4 (EP_HR3)	[ucd=phot.flux;stat.mean]
#Column	EPHR4	(F9.6)	? 3XMM mean hardness ratio, bands 4 and 5 (EP_HR4)	[ucd=phot.flux;stat.mean]
#Column	NameRC3	(a11)	RC3/LV host galaxy name (NAME)	[ucd=meta.id]
#Column	RV	(I5)	RC3 mean radial velocity (RADIAL_VELOCITY)	[ucd=phys.veloc;pos.heliocentric]
#Column	BTmag	(F9.6)	? RC3 total magnitude in B system (BT_MAG)	[ucd=phot.mag;em.opt.B]
#Column	T	(F10.6)	RC3/LV mean numerical Hubble stage (HUBBLE_STAGE)	[ucd=src.morph.type;stat.mean]
#Column	FIRmag	(F9.6)	? RC3 far infrared magnitude from IRAS (FAR_IR_MAG)	[ucd=phot.mag;em.IR]
#Column	H21mag	(F9.6)	? RC3 HI 21-cm emission-line magnitude (H_21CM_MAG)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	HI	(F9.6)	? RC3 corrected neutral hydrogen index (H_INDEX_CORR)	[ucd=phot.color]
#Column	NameNED	(a24)	NED galaxy name (NAME_NED)	[ucd=meta.id]
#Column	zNED	(F9.6)	? NED redshift (REDSHIFT_NED)	[ucd=src.redshift;pos.heliocentric]
#Column	DistBest	(F10.6)	Best distance measurement out of Dist, DistNED, DistNBG and DistNEDD (DISTANCE_BEST) (1)	[ucd=pos.angDistance]
#Column	EP8L	(D21.14)	Detection luminosity calculated from FluxEP8 and DistBest (EP_8_LUMINOSITY)	[ucd=phys.luminosity;em.X-ray]
#Column	IN-W11	(I1)	Flag true if source in Walton et al. 2011 (Cat. J/MNRAS/416/1844) (IN_W11)	[ucd=meta.code]
#Column	IS-COM39	(I1)	Flag true if source in subsample complete to 10^39^erg/s (IS_COMPLETE_39)	[ucd=meta.code]
SrcID	IAUName	OBS-ID	MJD-Start	RAJ2000	DEJ2000	CREP8	EPHR1	EPHR2	EPHR3	EPHR4	NameRC3	RV	BTmag	T	FIRmag	H21mag	HI	NameNED	zNED	DistBest	EP8L	IN-W11	IS-COM39
 	 	 	d	deg	deg	ct/s	 	 	 	 	 	km/s	mag	 	mag	mag	mag	 	 	Mpc	10-7W	 	
------	---------------------	----------	----------	---------	---------	---------	---------	---------	---------	---------	-----------	-----	---------	----------	---------	---------	---------	------------------------	---------	----------	---------------------	-	-
118684	3XMM J000155.3-152551	0204790101	52996.9784	000.48049	-15.43089	 0.006885	 1.000000	 0.519067	 0.021452	-0.411677	WLM        	  -75	11.030000	 10.000000	14.070000	11.240000	 0.430000	WLM                     	-0.000407	  0.981200	 2.69265676875868e+36	0	1
118656	3XMM J000158.1-152758	0204790101	52996.9784	000.49208	-15.46619	 0.032233	 0.783248	 0.307208	-0.308175	-0.571093	WLM        	  -75	11.030000	 10.000000	14.070000	11.240000	 0.430000	WLM                     	-0.000407	  0.981200	 7.98532406165770e+36	0	1
118560	3XMM J000201.4-153034	0204790101	52996.9784	000.50585	-15.50951	 0.014774	-0.947502	 0.997112	-0.269643	-0.381588	WLM        	  -75	11.030000	 10.000000	14.070000	11.240000	 0.430000	WLM                     	-0.000407	  0.981200	 5.14729838688799e+36	0	1
118540	3XMM J000205.0-152504	0204790101	52996.9784	000.52097	-15.41800	 0.025902	 0.574365	 0.267085	-0.618742	-0.298841	WLM        	  -75	11.030000	 10.000000	14.070000	11.240000	 0.430000	WLM                     	-0.000407	  0.981200	 4.71112101179119e+36	0	1
122027	3XMM J002012.0+591756	0152260101	52823.7658	005.05038	+59.29912	 0.002542	 1.000000	 0.836058	-0.183584	-0.353529	IC 10      	 -342	11.810000	 10.000000	 9.290000	10.530000	 2.250000	IC 0010                 	-0.001161	  0.757714	 5.40017168845915e+35	0	0
122021	3XMM J002013.7+591626	0152260101	52823.7658	005.05717	+59.27395	 0.008110	 1.000000	 0.088269	-0.865694	-1.000000	IC 10      	 -342	11.810000	 10.000000	 9.290000	10.530000	 2.250000	IC 0010                 	-0.001161	  0.757714	 6.11213270861368e+35	0	0
122022	3XMM J002014.8+591852	0152260101	52823.7658	005.06194	+59.31469	 0.008515	 0.818793	 0.008215	-0.859237	-0.634911	IC 10      	 -342	11.810000	 10.000000	 9.290000	10.530000	 2.250000	IC 0010                 	-0.001161	  0.757714	 6.14953756595488e+35	0	0
122000	3XMM J002021.4+591901	0152260101	52823.7658	005.08952	+59.31715	 0.004658	 0.737158	 0.525913	 0.195202	-0.669172	IC 10      	 -342	11.810000	 10.000000	 9.290000	10.530000	 2.250000	IC 0010                 	-0.001161	  0.757714	 6.58515158620664e+35	0	0
120277	3XMM J002026.0+591844	0152260101	52823.7658	005.10854	+59.31233	 0.005232	 0.908482	 0.171000	-0.352636	-0.412846	IC 10      	 -342	11.810000	 10.000000	 9.290000	10.530000	 2.250000	IC 0010                 	-0.001161	  0.757714	 5.94778785564497e+35	0	0
120244	3XMM J002029.0+591651	0152260101	52823.7658	005.12115	+59.28091	 0.939045	 0.846847	 0.632871	-0.199527	-0.715827	IC 10      	 -342	11.810000	 10.000000	 9.290000	10.530000	 2.250000	IC 0010                 	-0.001161	  0.757714	 1.41580755553325e+38	0	0
120330	3XMM J002121.2-483827	0152330101	52632.8958	005.33851	-48.64103	 0.005276	 0.457435	-0.144018	-0.562908	-0.962923	NGC 88     	 3433	14.980000	 -0.300000	 0.000000	 0.000000	 0.000000	NGC 0088                	 0.011471	 45.853333	 1.38539690939318e+39	1	0
113974	3XMM J003251.7+482556	0204790201	53004.8128	008.21577	+48.43234	 0.004235	-0.373773	 0.730912	-0.385491	 0.155595	NGC 147    	 -160	10.470000	 -5.000000	 0.000000	 0.000000	 0.000000	NGC 0147                	-0.000644	  0.714545	 4.52537388501082e+35	0	1
114040	3XMM J003257.9+483101	0204790201	53004.8128	008.24136	+48.51697	 0.003751	 0.946255	-0.073074	 0.160297	-0.360048	NGC 147    	 -160	10.470000	 -5.000000	 0.000000	 0.000000	 0.000000	NGC 0147                	-0.000644	  0.714545	 7.29152416671176e+35	0	1
114044	3XMM J003259.5+482700	0204790201	53004.8128	008.24829	+48.45025	 0.010441	 0.235777	 0.864083	 0.332137	-0.511766	NGC 147    	 -160	10.470000	 -5.000000	 0.000000	 0.000000	 0.000000	NGC 0147                	-0.000644	  0.714545	 2.22637371089219e+36	0	1
114052	3XMM J003302.5+483227	0204790201	53004.8128	008.26081	+48.54103	 0.004176	 0.595918	-0.136587	 0.253638	-0.598095	NGC 147    	 -160	10.470000	 -5.000000	 0.000000	 0.000000	 0.000000	NGC 0147                	-0.000644	  0.714545	 3.66418467385721e+35	0	1
114022	3XMM J003306.0+483134	0204790201	53004.8128	008.27511	+48.52634	 0.005291	 0.579347	 0.386018	-0.554214	-0.757319	NGC 147    	 -160	10.470000	 -5.000000	 0.000000	 0.000000	 0.000000	NGC 0147                	-0.000644	  0.714545	 4.56163887992128e+35	0	1
114032	3XMM J003307.9+482504	0204790201	53004.8128	008.28333	+48.41798	 0.007962	 0.805253	 0.002048	-0.211031	 0.041949	NGC 147    	 -160	10.470000	 -5.000000	 0.000000	 0.000000	 0.000000	NGC 0147                	-0.000644	  0.714545	 1.15734279525948e+36	0	1
