#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:37:44 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:37:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/649/A18/tableh1&-order=I&-out=Galaxy&-out=logMdust&-out=e_logMdust&-out=logUav&-out=e_logUav&-out=logqAF&-out=e_logqAF&-out=logMgas&-out=e_logMgas&-out=logfmol&-out=e_logfmol&-out=logMstar&-out=e_logMstar&-out=logsSFR&-out=e_logsSFR&-out=logOovHp12&-out=e_logOovHp12&-out=SimbadName&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36490018
#Name: J/A+A/649/A18
#Title: Nearby galaxy perspective on dust evolution (Galliano+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/649/a18	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/649/a18	    IVOID of underlying data collection
#INFO	creator=Galliano F.	    First author or institution
#INFO	cites=bibcode:2021A&A...649A..18G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/649/A18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36490018	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-01-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_649_A18_tableh1:
#Name: J/A+A/649/A18/tableh1
#Title: SED fitting results
#Column	Galaxy	(a15)	Galaxy name according to the DustPedia catalog (1)	[ucd=meta.id;meta.main]
#Column	logMdust	(E11.4)	Decimal logarithm of the dust mass	[ucd=phys.mass]
#Column	e_logMdust	(E11.4)	Uncertainty on logMdust	[ucd=stat.error]
#Column	logUav	(E11.4)	Decimal logarithm of the average starlight intensity, U, in 2.2E-5W/m2	[ucd=phot.mag;em.opt.U]
#Column	e_logUav	(E11.4)	Uncertainty on logUav	[ucd=stat.error]
#Column	logqAF	(E11.4)	Decimal logarithm of the mass fraction of small a-C(:H) grains	[ucd=phys.mass]
#Column	e_logqAF	(E11.4)	Uncertainty on logqAF	[ucd=stat.error]
#Column	logMgas	(E11.4)	? Decimal logarithm of the gas mass	[ucd=phys.mass]
#Column	e_logMgas	(E11.4)	? Uncertainty on logMgas	[ucd=stat.error]
#Column	logfmol	(E11.4)	? Decimal logarithm of the mass fraction of molecular gas	[ucd=phys.mass]
#Column	e_logfmol	(E11.4)	? Uncertainty on logfmol	[ucd=stat.error]
#Column	logMstar	(E11.4)	? Decimal logarithm of the stellar mass	[ucd=phys.mass]
#Column	e_logMstar	(E11.4)	? Uncertainty on logMstar	[ucd=stat.error]
#Column	logsSFR	(E11.4)	? Decimal logarithm of the specific star formation rate	[ucd=phys.SFR]
#Column	e_logsSFR	(E11.4)	? Uncertainty on logsSFR	[ucd=stat.error]
#Column	logOovHp12	(E11.4)	? Metallicity expressed as 12+log(O/H)	[ucd=phys.abund]
#Column	e_logOovHp12	(E11.4)	? Uncertainty on 12+log(O/H)	[ucd=stat.error]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Galaxy	logMdust	e_logMdust	logUav	e_logUav	logqAF	e_logqAF	logMgas	e_logMgas	logfmol	e_logfmol	logMstar	e_logMstar	logsSFR	e_logsSFR	logOovHp12	e_logOovHp12	SimbadName	_RA	_DE
 	[Msun]	[Msun]	[2.2E-5W/m2]	[2.2E-5W/m2]	[-]	[-]	[Msun]	[Msun]	[-]	[-]	[Msun]	[Msun]	[yr-1]	[yr-1]	[-]	[-]	 	deg	deg
---------------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	------------------------	---------	---------
ESO149-013     	 5.4310e+00	 5.0937e-01	-4.1418e-01	 4.7433e-01	-1.1003e+00	 2.1253e-01	 8.8638e+00	 2.3008e-02	           	           	 8.4202e+00	 1.8691e-01	           	           	           	           	ESO149-013              	000.69250	-52.77139
NGC0007        	 6.2035e+00	 1.7204e-01	 1.2573e-01	 1.7822e-01	-1.2208e+00	 1.0690e-01	 9.3082e+00	 3.4588e-02	           	           	 9.0593e+00	 9.7753e-02	-9.7459e+00	 1.0585e-01	           	           	NGC0007                 	002.08458	-29.91694
ESO410-005     	 3.5101e+00	 5.3868e-01	 3.6409e-01	 7.9579e-01	-1.4263e+00	 4.0790e-01	           	           	           	           	 6.2784e+00	 1.4260e-01	           	           	           	           	ESO410-005              	003.88104	-32.17981
IC0010         	 5.6056e+00	 2.0274e-01	 4.6915e-01	 1.9093e-01	-1.2483e+00	 1.5506e-01	 8.0848e+00	 6.0718e-02	           	           	 8.6644e+00	 1.2033e-01	-9.9925e+00	 3.0645e-01	 8.1811e+00	 9.3874e-02	IC0010                  	005.09650	+59.29297
NGC0115        	 6.7955e+00	 1.2131e-01	 2.3041e-02	 1.2870e-01	-1.2154e+00	 7.8924e-02	 9.6671e+00	 3.8991e-02	           	           	 9.4774e+00	 9.5494e-02	-9.7752e+00	 1.0341e-01	           	           	NGC0115                 	006.69282	-33.67710
ESO410-012     	 5.4010e+00	 4.7629e-01	-2.5889e-01	 4.7412e-01	-1.1139e+00	 2.0532e-01	 8.9145e+00	 2.9095e-02	           	           	 8.1341e+00	 1.2513e-01	-9.7278e+00	 1.3606e-01	           	           	ESO410-012              	007.07379	-27.98289
NGC0131        	 6.6325e+00	 6.5909e-02	 1.2047e-01	 6.9452e-02	-9.8709e-01	 4.2065e-02	 9.4077e+00	 4.5272e-03	           	           	 9.3032e+00	 9.1011e-02	-1.0013e+01	 1.1361e-01	           	           	NGC0131                 	007.41050	-33.25972
UGC00300       	 5.0963e+00	 4.1646e-01	-3.5865e-02	 3.6267e-01	-1.3475e+00	 1.6058e-01	 8.3909e+00	 2.1847e-02	           	           	 8.3430e+00	 1.2148e-01	-1.0016e+01	 1.3488e-01	 8.0016e+00	 4.6894e-02	UGC00300                	007.51771	+03.51292
UGC00313       	 6.5132e+00	 1.2754e-01	 2.3853e-01	 1.4338e-01	-1.1014e+00	 7.3219e-02	 8.5379e+00	 6.2090e-02	           	           	 9.2961e+00	 7.9044e-02	-1.0003e+01	 1.0544e-01	 8.3353e+00	 7.9600e-02	UGC00313                	007.85856	+06.20674
ESO410-018     	 6.3115e+00	 1.6390e-01	-1.5747e-01	 1.9680e-01	-1.0002e+00	 1.0895e-01	 9.3087e+00	 6.6947e-02	           	           	 8.8197e+00	 1.0973e-01	-9.5954e+00	 1.1475e-01	           	           	ESO410-018              	008.54458	-30.77333
NGC0148        	 5.9469e+00	 2.4572e-01	 3.1742e-01	 3.0645e-01	-9.2149e-01	 1.4238e-01	           	           	           	           	 1.0548e+01	 4.8227e-02	           	           	           	           	NGC0148                 	008.56457	-31.78600
NGC0150        	 7.2250e+00	 1.9921e-02	 6.8215e-01	 1.6227e-02	-1.0957e+00	 7.2432e-03	 9.8965e+00	 3.7347e-02	           	           	 1.0129e+01	 8.0744e-02	-9.7443e+00	 9.8740e-02	           	           	NGC0150                 	008.56447	-27.80355
ESO411-013     	 5.9360e+00	 3.1937e-01	-1.4559e-01	 3.6349e-01	-9.8527e-01	 1.6889e-01	           	           	           	           	 8.8635e+00	 1.2227e-01	-1.0478e+01	 2.3712e-01	           	           	ESO411-013              	011.77625	-31.58167
