#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:05:48 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:05:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/669/A8/table1&-order=I&-out=Galaxy&-out=incl&-out=Dist&-out=leff&-out=S144MHz&-out=alpha-int&-out=e_alpha-int&-out=&lt;Beq&gt;&-out=e_&lt;Beq&gt;&-out=Bmax-eq&-out=e_Bmax-eq&-out=MHI&-out=n_MHI&-out=MH2&-out=n_MH2&-out=&lt;sigmaHI&gt;&-out=&lt;sigmaH2&gt;&-out=fits&fits=fits&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36690008
#Name: J/A+A/669/A8
#Title: Nearby galaxies in LoTSS-DR2. II. (Heesen+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/a+a/669/a8	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/669/a8	    IVOID of underlying data collection
#INFO	creator=Heesen V.	    First author or institution
#INFO	cites=bibcode:2023A&A...669A...8H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/669/A8	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36690008	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-01-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_669_A8_table1:
#Name: J/A+A/669/A8/table1
#Title: Magnetic field strengths and ancillary data in the LoTSS-DR2 sample
#Column	Galaxy	(A8)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	incl	(I2)	Inclination angle with respect to the line of sight	[ucd=src.orbital.inclination;spect.line]
#Column	Dist	(F5.2)	Distance	[ucd=pos.distance]
#Column	leff	(F4.1)	Path length	[ucd=src.morph.scLength]
#Column	S144MHz	(F6.3)	Integrated flux density at 144 MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	alpha-int	(F5.2)	Integrated radio spectral index	[ucd=spect.index]
#Column	e_alpha-int	(F5.2)	Integrated radio spectral index error	[ucd=stat.error]
#Column	<Beq>	(F4.1)	Mean magnetic field strength	[ucd=phys.magField;phys.atmol.collStrength]
#Column	e_<Beq>	(F4.1)	Mean magnetic field strength error	[ucd=stat.error]
#Column	Bmax-eq	(F4.1)	Maximum magnetic field strength	[ucd=phys.magField;phys.atmol.collStrength]
#Column	e_Bmax-eq	(F4.1)	Maximum magnetic field strength error	[ucd=stat.error]
#Column	MHI	(F6.2)	? HI mass from Walter et al. (2008AJ....136.2563W, Cat. J/AJ/136/2563)	[ucd=phys.mass]
#Column	n_MHI	(A1)	[a] Note on MHI (1)	[ucd=meta.note]
#Column	MH2	(F5.2)	? H2 mass from Leroy et al. (2008AJ....136.2782L, Cat. J/AJ/136/2782)	[ucd=phys.mass]
#Column	n_MH2	(A1)	[a] Note on MH2 (1)	[ucd=meta.note]
#Column	<sigmaHI>	(F4.1)	? Mean turbulent velocity dispersion for HI gas from Mogotsi et al. (2016AJ....151...15M)	[ucd=phys.veloc.dispersion]
#Column	<sigmaH2>	(F4.1)	? Mean turbulent velocity dispersion for H2 gas from Mogotsi et al. (2016AJ....151...15M)	[ucd=phys.veloc.dispersion]
#Column	fits	(A4)	Display the fits files list	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Galaxy	incl	Dist	leff	S144MHz	alpha-int	e_alpha-int	<Beq>	e_<Beq>	Bmax-eq	e_Bmax-eq	MHI	n_MHI	MH2	n_MH2	<sigmaHI>	<sigmaH2>	fits	Simbad	_RA	_DE
 	deg	Mpc	kpc	Jy	 	 	uG	uG	uG	uG	10+8Msun	 	10+8Msun	 	km/s	km/s	 	 	deg	deg
--------	--	-----	----	------	-----	-----	----	----	----	----	------	-	-----	-	----	----	----	------	---------	---------
NGC 855 	74	 9.73	 5.1	 0.007	-0.24	 0.09	 8.1	 4.1	11.6	 6.0	      	 	     	 	    	    	fits	Simbad	033.51505	+27.87717
NGC 891 	90	 9.10	12.6	 2.985	-0.63	 0.04	 7.9	 1.9	18.4	 4.0	      	 	     	 	    	    	fits	Simbad	035.63711	+42.34832
NGC 925 	50	 9.12	 2.2	 0.197	-0.46	 0.06	 6.2	 2.2	20.3	 6.3	 45.80	 	 1.80	 	11.0	 6.0	fits	Simbad	036.82047	+33.57888
NGC 2683	79	 6.27	 4.7	 0.284	-0.66	 0.06	 7.2	 2.1	15.7	 3.4	      	 	     	 	    	    	fits	Simbad	133.17211	+33.42183
NGC 2798	75	25.80	 5.4	 0.220	-0.46	 0.06	12.5	 4.5	33.8	12.2	      	 	     	 	    	    	fits	Simbad	139.34564	+41.99971
NGC 2820	90	26.50	 6.9	 0.251	-0.64	 0.04	 6.6	 1.5	15.9	 3.4	      	 	     	 	    	    	fits	Simbad	140.43985	+64.25802
NGC 2841	69	14.10	 3.9	 0.463	-0.72	 0.05	 6.4	 1.5	20.2	 6.2	 85.80	 	11.20	 	10.0	 8.0	fits	Simbad	140.51116	+50.97659
NGC 2976	54	 3.55	 2.4	 0.109	-0.49	 0.05	 8.3	 2.5	14.9	 5.6	  1.36	 	 0.70	 	11.0	 6.0	fits	Simbad	146.81441	+67.91638
NGC 3003	90	25.40	13.9	 0.132	-0.59	 0.06	 5.3	 1.9	10.7	 2.3	      	 	     	 	    	    	fits	Simbad	147.14825	+33.42162
NGC 3077	38	 3.83	 1.8	 0.059	-0.31	 0.06	11.0	 3.9	25.4	 9.2	  8.81	a	 0.03	a	    	    	fits	Simbad	150.82957	+68.73377
NGC 3079	88	20.60	13.0	 3.707	-0.67	 0.04	 8.7	 1.9	41.0	 8.9	      	 	     	 	    	    	fits	Simbad	150.49116	+55.67985
NGC 3184	29	11.70	 1.6	 0.337	-0.62	 0.05	 7.5	 2.1	14.9	 4.7	 30.70	 	12.00	 	10.0	 8.0	fits	Simbad	154.57077	+41.42438
NGC 3198	72	14.10	 4.5	 0.099	-0.46	 0.06	 6.0	 2.1	13.8	 4.3	101.70	 	 4.10	 	17.0	11.0	fits	Simbad	154.97912	+45.54969
NGC 3265	47	19.60	 2.1	 0.023	-0.34	 0.06	10.3	 3.7	22.7	 8.2	      	 	     	 	    	    	fits	Simbad	157.77820	+28.79666
NGC 3432	85	 9.42	 5.0	 0.274	-0.58	 0.04	 7.4	 1.9	12.9	 2.8	      	 	     	 	    	    	fits	Simbad	163.12972	+36.61878
NGC 3448	78	24.50	 6.3	 0.173	-0.62	 0.04	 9.2	 2.2	19.6	 4.2	      	 	     	 	    	    	fits	Simbad	163.66350	+54.30523
NGC 3556	81	14.09	12.5	 1.065	-0.62	 0.04	 7.1	 1.7	14.1	 3.0	      	 	     	 	    	    	fits	Simbad	167.87903	+55.67412
NGC 3877	85	17.70	 9.3	 0.147	-0.55	 0.04	 6.8	 1.8	12.4	 2.7	      	 	     	 	    	    	fits	Simbad	176.53242	+47.49450
NGC 3938	36	17.90	 1.8	 0.334	-0.67	 0.05	 8.9	 2.2	12.9	 4.1	      	 	     	 	    	    	fits	Simbad	178.20597	+44.12075
NGC 4013	88	16.00	 8.1	 0.144	-0.60	 0.04	 7.1	 1.9	18.4	 4.0	      	 	     	 	    	    	fits	Simbad	179.63090	+43.94702
NGC 4096	82	10.32	 5.9	 0.169	-0.60	 0.04	 7.1	 1.8	11.2	 2.4	      	 	     	 	    	    	fits	Simbad	181.50484	+47.47836
NGC 4125	36	24.77	 1.7	 0.012	-0.84	 0.07	 9.0	 2.4	15.5	 3.5	      	 	     	 	    	    	fits	Simbad	182.02507	+65.17413
NGC 4157	83	15.60	 8.3	 0.921	-0.69	 0.04	 7.6	 1.6	15.4	 3.2	      	 	     	 	    	    	fits	Simbad	182.76819	+50.48468
NGC 4217	86	20.60	11.7	 0.427	-0.63	 0.04	 7.4	 1.7	17.4	 3.7	      	 	     	 	    	    	fits	Simbad	183.96208	+47.09179
NGC 4244	90	 4.40	 7.2	 0.049	-0.57	 0.05	 3.6	 1.1	10.0	 2.6	      	 	     	 	    	    	fits	Simbad	184.37358	+37.80711
