RAJ2000, deg	DEJ2000, deg	Name	r, arcsec	Ksmag, mag	2s, Dimensionless "separation" between isolated galaxy and its nearest significant neighbour	HRV, km/s	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	Comm	Redshift	MorphologicalType
0.5130833	-45.358	PGC130018	17.9	11.51	76	11639	3			0.03882352504	SB
0.9529583	-43.6182778	PGC262	18.8	11.73	74	9076	2		AM0001-435	0.03027427728	SAB
1.0449167	-13.2219444	PGC941042	17.2	11.89	63	11710	3	2		0.03906035555	SB
1.2723333	-7.0934167	IC1528	41.4	10.39	94	3768	3	2	HII	0.01256869511	SB
2.0610833	7.7801944	UGC00067	32.1	10.4	78	11833	2		Ring	0.03947063938	SAB
2.1428333	-10.9494167	MCG-02-01-028	20.5	11.84	101	9109	2	1	Bar,ring	0.03038435343	SAB
2.143875	-33.8583056	NGC0010	56	9.48	67	6806	3		Bar,IRAS,Vc	0.02270237232	SB
2.2279583	23.8169167	NGC0009	22.2	11.8	125	4527	3		Pec,HII,KIG6,IRAS	0.01510044659	SB
2.264375	-32.9141389	ESO349-033	26	10.99	61	6892	3	2	IRAS	0.02298923744	SB
2.2675417	10.9189167	UGC00081	29.3	10.72	76	6674	3	3		0.02226206771	SB
2.567125	32.1061944	CGCG499-061	15.3	11.72	71	19372	3	1		0.06461803652	SB
2.753375	-12.8223889	IC0002	20.3	11.24	80	6775	2		IRAS	0.02259896745	SAB
3.6782917	-60.3284722	NGC0053	38.8	10.3	112	4572	2		Bar,ring	0.01525055043	SAB
3.818625	-57.2447778	ESO111-022	22	11.13	72	9800	3		Ring,Vc	0.03268928133	SB
4.271125	42.1613889	UGC00158	19.1	11.69	65	5065	3			0.01689502142	SB
4.9333333	-14.1217778	IC0009	15.3	11.36	87	12622	3	1	Ring,Sy2,HII,IRAS	0.0421024601	SB
4.9530833	23.7726111	IC1540	28.3	10.85	65	5827	3		Bar	0.01943677983	SB
5.00025	-6.3336944	MCG-01-02-001	24.2	11.38	73	3709	2		Bar,pec	0.01237189229	SAB
5.4629583	-9.49225	MCG-02-02-005	20.8	11.37	113	6267	3	1	Ring,IRAS	0.02090446185	SB
5.7962083	-59.6174722	ESO111-026	17	11.36	102	8941	2	1		0.02982396575	SAB
6.374625	45.9216944	UGC00243	57.8	9.61	78	5076	3		IRAS,Vc	0.01693171347	SB
6.5726667	-4.4923056	MCG-01-02-014	31.2	10.98	92	3983	2		Bar,pec,HII,IRAS	0.01328585791	SAB
6.624	-60.0561111	PGC127809	21.4	11.33	83	4749	3	1	AM0024-602,IRAS	0.01584095888	SB
7.0742917	-9.4928611	MCG-02-02-020	18.8	11.91	61	16959	3			0.0565691349	SB
7.6825833	-59.0071667	ESO112-006	15.5	11.44	72	8642	2	1	IRAS	0.02882660911	SAB
8.6025417	12.2685	IC0031	32.4	10.37	79	9515	2	1		0.03173862366	SAB
9.3396667	-19.9342222	NGC0171	64.5	9.39	62	3884	2		Bar,ring,VV791A,IRAS	0.01295562946	SAB
9.6655417	17.4031389	UGC00393	19.2	11.38	91	5432	3		Vc	0.01811920165	SB
9.8972917	-47.29125	2MFGC472	15.7	11.86	82	10114	3	1		0.03373667259	SB
10.8572917	-50.1827778	NGC0238	53.1	10.06	96	8614	3		Bar,ring,IRAS,Vc	0.02873321116	SB
11.8031667	29.1363889	2MFGC00567	16.5	11.34	71	5706	2		IRAS,Vc	0.01903316727	SAB
12.5938333	11.7104444	UGC00513	16.3	11.86	66	11901	3	1		0.03969746297	SB
13.3837917	-58.1071111	IC1597	21	11.93	67	5053	3	2	Bar,pec,ring	0.01685499373	SB
13.6784167	21.5226389	IC1596	18.9	11.63	90	2675	3	1	KIG39	0.008922839547	SB
14.406625	-48.9026389	IC1605	37.3	10.38	83	7440	3		Bar,ring,Vc	0.02481716868	SB
14.6005833	48.6618889	UGC00600	21.1	10.93	79	6813	3	1	Bar,IRAS	0.02272572181	SB
16.7982917	10.8368056	IC0075	17.1	11.44	78	12324	3	1		0.04110843909	SB
17.261	-37.2888056	ESO296-002	26	10.73	63	6584	2		Bar,ring,HII,IRAS	0.02196186003	SAB
17.8425417	-29.2345	NGC0423	30.4	10.58	86	1596	2	3	Pec,IRAS	0.005323682959	SAB
19.534125	-2.5676667	MCG-01-04-024	15.4	11.83	105	5339	2	1		0.01780898704	SAB
21.103	-24.1132778	MCG-04-04-007	21	11.48	91	11195	3	3	Bar,IRAS	0.03734250046	SB
21.22	-11.58925	MCG-02-04-044	19.6	10.77	71	10260	3		IRAS	0.03422367617	SB
22.9254167	-0.9328889	NGC0585	54.2	9.46	67	5431	2		IRAS,Vc	0.01811586601	SAB
23.794125	21.9012222	CGCG481-11	16.1	11.28	64	14173	3		HII,LINER,KIG55,IRAS	0.04727603921	SB
24.0005417	0.6633611	NGC0622	31.8	10.54	116	5162	3		Bar,sbrst,KIG56,MRK571,IRAS	0.01721857859	SB
24.1359583	39.9227778	UGC01145	25.5	11.38	108	5692	3		Bar,IRAS	0.0189864683	SB
24.5644583	41.6540833	UGC01162	28.6	11.17	91	11131	3		Bar,ring	0.03712901944	SB
24.893625	-12.0761389	MGC-02-05-032	29.1	11.53	98	5521	3			0.0184160737	SB
25.0910833	37.2082222	CGCG521-065	19	11.52	70	5099	2			0.01700843321	SAB
25.5708333	-47.53	ESO196-019	25.7	11	76	6750	2	2	Bar,IRAS	0.02251557643	SAB
25.67625	-18.2268333	ESO543-012	27.9	11.18	62	4928	3	1	Bar,ring	0.01643803861	SB
25.8090417	8.8893056	IC1723	54.1	9.89	62	5532	3		IRAS,Vc	0.01845276575	SB
26.034	34.3873333	UGC01212	20.5	10.95	63	10749	3			0.03585480459	SB
26.4829583	-76.4761944	ESO030-003	27.6	10.96	97	6297	3		IRAS	0.02100453107	SB
27.4656667	-27.4666667	NGC0689	26.4	10.38	62	4210	2		Bar,ring,IRAS	0.01404304841	SAB
27.497625	2.0914444	UGC01293	20.1	10.94	65	14165	2			0.04724935408	SAB
28.3021667	-12.8728056	NGC0715	21.3	11.35	78	5600	3		HII	0.01867958933	SB
28.5547083	7.8836667	UGC01368	33.5	10.78	90	7942	2	2		0.02649166044	SAB
29.2875833	17.7700556	CGCG461-009	15.9	11.71	80	5207	2			0.01736868244	SAB
29.4182083	-57.7901667	NGC0782	49.1	9.41	111	6098	3		Bar,ring,IRAS	0.02034073853	SB
30.0374583	12.6560278	NGC0781	36.1	10.03	80	3488	2		KIG81,Vc	0.01163471564	SAB
30.8729167	-62.7824167	PGC127509	19.6	11.25	82	6158	2		IRAS	0.02054087698	SAB
30.885375	-60.8529722	ESO114-023	21.7	11.17	81	8974	3	1	Bar,ring	0.0299340419	SB
30.98575	-23.3115556	NGC0808	27.6	10.21	145	4960	3		Bar,ring,IRAS	0.01654477912	SB
31.3609167	31.1753333	UGC01577	36.7	10.41	64	5274	3		Bar,ring,KIG86,IRAS	0.01759217038	SB
31.405375	6.7719722	UGC01587	26.7	11.05	74	5658	3		Pec,KIG87,IRAS	0.01887305651	SB
31.4525833	-5.2938333	MCG-01-06-043	26.1	10.5	72	5134	3		Pec,merger,HII,IRAS	0.01712518065	SB
31.6525	-31.7778889	ESO414-031	20.9	11.41	106	10664	3		Ring	0.03557127511	SB
32.1040833	14.3496944	NGC0820	29.6	9.84	74	4423	3		IRAS	0.01475353993	SB
32.3127917	-45.2041944	PGC130208	17.1	11.82	66	12995	3	2		0.04334665417	SB
32.3956667	-47.5660278	ESO197-026	26.7	11.46	67	13422	3		Bar,ring,Vc	0.04477097286	SB
32.94525	-5.9153611	MCG-01-06-068	16	11.5	81	12991	2			0.04333331161	SAB
33.05125	44.5683333	NGC0846	45.2	9.19	66	5116	2		Bar,IRAS	0.01706513911	SAB
33.1916667	36.3033611	UGC01701	17.1	10.91	60	10989	3	1		0.03665535842	SB
34.346125	38.4138611	UGC01757	28.6	10.27	75	5060	3		ARK79	0.01687834322	SB
34.7492083	0.3298889	CGCG387-070	17.9	11.54	78	8942	2		IRAS	0.02982730139	SAB
34.9067083	-37.8187222	ESO298-028	29	10.26	104	5062	3			0.0168850145	SB
34.9940833	-41.4031111	NGC0893	31	10.09	66	5049	3		Pec,IRAS,Vc	0.01684165117	SB
35.2989583	-42.0016389	ESO298-031	28.9	10.98	74	4797	2		Bar,ring,pec	0.01600106965	SAB
35.4027917	-64.6101111	ESO081-008	24	10.67	70	5971	2		IRAS	0.01991711212	SAB
35.4705417	-14.0775833	PGC138518	16.5	11.69	68	15109	3	1	Bar,IRAS	0.05039819914	SB
37.046875	-5.8386944	MCG-01-07-015	16.6	11.71	81	6108	3	1	Pec,VV449,IRAS	0.02037409493	SB
38.199	4.7945833	CGCG414-014	21.3	11.59	81	13597	2			0.04535471002	SAB
