#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:45:30 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:45:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/846/44/table1&-order=I&-out=RAJ2000&-out=DEJ2000&-out=f_pos&-out=fp&-out=e_fp&-out=Lum&-out=z&-out=theta&-out=fNVSS&-out=e_fNVSS&-out=chi&-out=Xc&-out=FIRST&FIRST=FIRST&-out=NVSS&NVSS=NVSS&-out=RASS&RASS=RASS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18460044
#Name: J/ApJ/846/44
#Title: Luminous persistent sources in nearby galaxies search (Ofek, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/846/44	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/846/44	    IVOID of underlying data collection
#INFO	creator=Ofek E.O.	    First author or institution
#INFO	cites=bibcode:2017ApJ...846...44O	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/846/44	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18460044	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-09-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_846_44_table1:
#Name: J/ApJ/846/44/table1
#Title: *Luminous persistent radio source candidates
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	f_pos	(A1)	[b] b = best candidates (11 occurrences)	[ucd=meta.code]
#Column	fp	(F4.1)	[1.4/21.1] FIRST peak radio flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_fp	(F5.2)	[0.1/0.3] Error in fp	[ucd=stat.error]
#Column	Lum	(F5.2)	[0.1/1] Luminosity (2)	[ucd=phys.luminosity]
#Column	z	(F6.3)	[0.01/0.03] Spatially coincident galaxy redshift	[ucd=src.redshift]
#Column	theta	(F6.2)	[0.02/223.5] Angular distance between radio source and galaxy	[ucd=pos.angDistance]
#Column	fNVSS	(F5.1)	[2/159]? NVSS radio flux (3)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_fNVSS	(F4.1)	[0.4/5.1]? Error in fNVSS	[ucd=stat.error]
#Column	chi	(F4.1)	[-5.4/30.4]? FIRST to NVSS variability (4)	[ucd=stat.fit.chi2]
#Column	Xc	(F5.1)	[13/152.4]? ROSAT count rate (5)	[ucd=phot.count;em.X-ray]
#Column	FIRST	(a5)	Display the FIRST data from Helfand+, 2015, VIII/92 within 0.1"	[ucd=meta.ref.url]
#Column	NVSS	(A4)	Display the NVSS data from Condon+, 1998, VIII/65 within 15"	[ucd=meta.ref.url]
#Column	RASS	(A4)	Display the ROSAT data from Voges+, 1999, IX/10 and IX/29 within 35"	[ucd=meta.ref.url]
RAJ2000	DEJ2000	f_pos	fp	e_fp	Lum	z	theta	fNVSS	e_fNVSS	chi	Xc	FIRST	NVSS	RASS
"h:m:s"	"d:m:s"	 	mJy	mJy	 	 	arcsec	mJy	mJy	 	ct/ks	 	 	
------------	------------	-	----	-----	-----	------	------	-----	----	----	-----	-----	----	----
09 27 58.282	-02 25 58.95	b	 2.1	 0.14	 0.14	 0.023	 14.32	     	    	    	     	FIRST	NVSS	RASS
10 47 26.693	+06 02 47.72	b	 2.9	 0.14	 0.13	 0.019	  5.87	  2.4	 0.4	-1.1	     	FIRST	NVSS	RASS
23 53 51.412	+07 58 35.91	b	 4.2	 0.13	 0.16	 0.018	 42.68	     	    	    	     	FIRST	NVSS	RASS
14 10 43.667	+08 59 29.96	b	 3.2	 0.15	 0.21	 0.023	 17.66	  4.0	 0.4	 1.8	     	FIRST	NVSS	RASS
10 25 26.189	+17 15 47.97	b	 2.8	 0.13	 0.11	 0.018	  7.08	     	    	    	     	FIRST	NVSS	RASS
10 58 23.641	+24 13 55.32	b	 2.3	 0.15	 0.12	 0.021	 29.79	     	    	    	     	FIRST	NVSS	RASS
13 14 41.932	+29 59 59.19	b	 2.2	 0.14	 0.14	 0.023	 20.58	  4.0	 0.5	 3.4	     	FIRST	NVSS	RASS
16 22 44.571	+32 12 59.28	b	 2.0	 0.15	 0.11	 0.022	  0.89	  2.7	 0.4	 1.7	     	FIRST	NVSS	RASS
14 00 38.929	-02 51 22.79	b	 1.5	 0.15	 0.11	 0.025	 26.41	     	    	    	 18.8	FIRST	NVSS	RASS
11 45 29.346	+19 23 27.46	b	 3.5	 0.20	 0.26	 0.025	 33.35	  2.4	 0.4	-2.3	     	FIRST	NVSS	RASS
14 19 18.855	+39 40 36.03	b	21.1	 0.15	 0.95	 0.020	  0.50	 18.5	 1.0	-2.2	     	FIRST	NVSS	RASS
00 17 27.498	-09 34 26.56	 	 2.5	 0.15	 0.15	 0.023	  0.51	     	    	    	     	FIRST	NVSS	RASS
00 17 59.547	-09 16 00.89	 	 1.6	 0.15	 0.10	 0.023	 19.06	  2.9	 0.5	 2.5	     	FIRST	NVSS	RASS
02 52 42.189	-08 48 15.76	 	 3.1	 0.15	 0.12	 0.018	  0.18	  4.4	 0.5	 2.4	     	FIRST	NVSS	RASS
11 24 03.341	-07 47 01.13	 	 2.1	 0.14	 0.16	 0.025	  0.50	  3.7	 0.6	 2.5	     	FIRST	NVSS	RASS
01 44 43.099	-04 07 46.25	 	 5.2	 0.13	 0.21	 0.018	 34.81	 10.9	 0.6	 9.0	     	FIRST	NVSS	RASS
00 06 28.516	-03 42 58.83	 	 2.4	 0.23	 0.12	 0.021	  0.99	  2.3	 0.4	-0.2	     	FIRST	NVSS	RASS
02 52 51.841	-01 16 29.31	 	 3.1	 0.15	 0.20	 0.023	  0.18	  5.4	 0.6	 3.7	152.4	FIRST	NVSS	RASS
03 36 23.014	-00 52 57.85	 	 1.6	 0.14	 0.11	 0.024	  0.38	     	    	    	     	FIRST	NVSS	RASS
12 02 29.570	-00 12 44.64	 	 2.5	 0.16	 0.12	 0.020	  0.76	     	    	    	     	FIRST	NVSS	RASS
02 36 23.588	+00 42 31.55	 	 1.9	 0.13	 0.11	 0.022	  3.20	     	    	    	     	FIRST	NVSS	RASS
09 20 02.170	+01 02 17.82	 	11.4	 0.15	 0.40	 0.017	  0.03	 10.7	 0.5	-1.1	 46.0	FIRST	NVSS	RASS
10 27 25.021	+01 14 30.82	 	 3.0	 0.14	 0.17	 0.022	  0.47	  3.1	 0.4	 0.3	     	FIRST	NVSS	RASS
02 17 04.793	+01 14 39.44	 	11.1	 0.16	 0.61	 0.022	  0.54	 11.9	 0.6	 1.2	     	FIRST	NVSS	RASS
