#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T10:24:29 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T10:24:29	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VII/161/catalog&-order=I&-out=SPB&-out=Name&-out=RAB1950&-out=DEB1950&-out=HVel&-out=Group&-out=i&-out=BT&-out=logD25&-out=IRAS&-out=logR25&-out=logFIR&-out=Name2&-out=type&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7161
#Name: VII/161
#Title: Nearby Galaxies (Schmidt+ 1993)
#INFO	ivoid=ivo://cds.vizier/vii/161	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/161	    IVOID of underlying data collection
#INFO	creator=Schmidt K.-H.	    First author or institution
#INFO	cites=bibcode:1993AN....314..371S	    Article or Data origin sources
#INFO	journal=AN	    Journal name
#INFO	original_date=1993	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/161	    Dataset landing page
#INFO	publication_date=2013-03-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_161_catalog:
#Name: VII/161/catalog
#Title: The Catalogue
#Column	SPB	(I3)	[1/276]+ Running number in order of RA1950	[ucd=meta.id;meta.main]
#Column	Name	(a19)	Name (or comma-separated list of names)	[ucd=meta.id]
#Column	RAB1950	(A7)	Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A6)	Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	HVel	(I4)	[]? Heliocentric velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Group	(a6)	Group membership	[ucd=meta.code.member]
#Column	i	(I2)	[]? Inclination (face-on, in degrees)	[ucd=src.orbital.inclination]
#Column	BT	(F5.2)	[]? Observed total photoelectric blue mag.	[ucd=phot.mag;em.opt.B]
#Column	logD25	(F5.2)	[]? Logarithm of the angular diameter D25	[ucd=phys.angSize]
#Column	IRAS	(A10)	Name of the main infrared source from the IRAS catalogue (1988) (several for more than one possible identification)	[ucd=meta.id.cross]
#Column	logR25	(F5.2)	[]? Logarithm of the axis ratio R25	[ucd=phys.size.axisRatio]
#Column	logFIR	(F9.2)	[]? Logarithm of the far-infrared-flux (erg/cm2/s)	[ucd=phot.flux;em.IR]
#Column	Name2	(a19)	Alternate name(s)	[ucd=meta.id]
#Column	type	(F4.1)	[]? Morphological type (numerical encoded)	[ucd=src.morph.type]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
SPB	Name	RAB1950	DEB1950	HVel	Group	i	BT	logD25	IRAS	logR25	logFIR	Name2	type	_RA.icrs	_DE.icrs
 	 	"h:m:s"	"d:m:s"	km/s	 	deg	mag	[0.1arcmin]	 	 	[mW/m2]	 	 	"h:m:s"	"d:m:s"
---	-------------------	-------	------	----	------	--	-----	-----	----------	-----	---------	-------------------	----	----------	---------
  1	E349-31            	00 05.7	-34 52	 207	B7a   	35	     	 1.05	          	 0.07	         	                   	10.0	00 08 14.4	-34 35 18
  2	N55                	00 12.5	-39 29	 127	B7a   	84	 8.42	 2.51	00125-3928	 0.76	    -8.33	-07-01-013         	 9.0	00 15 00.5	-39 12 19
  3	I10                	00 17.7	+59 01	-344	LG    	35	11.80	 1.80	00177+5900	 0.09	    -8.63	                   	10.0	00 20 25.1	+59 17 39
  4	U288               	00 26.3	+43 09	 188	field 	  	     	 1.11	          	 0.20	         	                   	    	00 28 59.3	+43 25 35
  5	N147               	00 30.5	+48 14	-187	LG    	57	10.47	 2.12	          	 0.23	         	08-02-005          	-5.0	00 33 14.2	+48 30 32
  6	A0032+36           	00 32.6	+36 14	    	LG    	  	     	     	          	     	         	                   	-5.0	00 35 17.0	+36 30 31
  7	N185               	00 36.2	+48 04	-204	LG    	53	10.10	 2.07	00362+4803	 0.07	   -10.38	                   	-5.0	00 38 58.0	+48 20 29
  8	N205               	00 37.6	+41 25	-236	LG    	58	 8.92	 2.34	00376+4124	 0.30	   -10.22	07-02-014          	-5.0	00 40 19.8	+41 41 28
  9	N221               	00 40.0	+40 36	-200	LG    	54	 9.03	 1.94	00399+4035	 0.13	    -9.86	07-02-015          	-6.0	00 42 44.1	+40 52 26
 10	N224               	00 40.0	+41 00	-301	LG    	77	 4.36	 3.28	several   	 0.49	    -7.26	07-02-016          	 3.0	00 42 44.2	+41 16 26
 11	I1574              	00 40.6	-22 31	 361	B7b   	63	14.32	 1.33	          	 0.44	         	-04-02-043         	 9.7	00 43 04.8	-22 14 34
 12	A0043+37           	00 43.0	+37 44	    	LG    	  	     	 1.40	          	 0.00	         	                   	-5.0	00 45 43.8	+38 00 23
 13	N247               	00 44.7	-21 02	 158	B7b   	72	 9.67	 2.33	00446-2101	 0.49	    -9.98	-04-03-005         	 7.0	00 47 10.7	-20 45 38
 14	N253               	00 45.1	-25 34	 249	B7b   	77	 8.04	 2.44	several   	 0.61	    -7.25	-04-03-009         	 5.0	00 47 33.4	-25 17 38
 15	E540-31            	00 47.4	-21 17	 301	B7b   	65	15.19	 1.23	          	 0.37	         	-04-03-019         	10.0	00 49 52.3	-21 00 40
 16	N292               	00 51.0	-73 06	 158	LG    	63	 2.70	 3.50	several   	 0.23	    -6.39	E29-21             	 9.0	00 52 44.8	-72 49 43
 17	N300               	00 52.6	-37 58	 141	B7a   	43	 8.72	 2.34	00523-3756	 0.15	    -9.57	-06-03-005         	 7.0	00 54 57.7	-37 41 45
 18	E351-30            	00 57.8	-33 59	 196	LG    	36	10.50	 2.60	          	 0.11	         	-06-03-015         	-5.0	01 00 10.4	-33 42 51
 19	A0101+21           	01 01.2	+21 37	-280	LG    	50	     	     	          	     	         	                   	10.0	01 03 52.9	+21 53 05
 20	I1613              	01 02.2	+01 52	-235	LG    	22	 9.88	 2.21	01025+0153	 0.05	   -10.17	                   	10.0	01 04 46.4	+02 08 04
 21	U685               	01 04.7	+16 25	 155	field 	  	     	 1.08	          	 0.14	         	                   	 9.0	01 07 21.4	+16 41 01
 22	A0106+21           	01 06.3	+21 39	-326	LG    	  	     	     	          	     	         	                   	10.0	01 08 59.5	+21 54 59
