#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T10:27:40 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T10:27:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/cgi-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJS/80/479/table1&-order=I&-out=Link&Link=Gr1&-out=Group&-out=Gal&-out=Memb&-out=Ngal&-out=Ngal2&-out=Dist&-out=Vel&-out=note&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_20800479
#Name: J/ApJS/80/479
#Title: Nearby galaxy flows (Tully+, 1992)
#INFO	ivoid=ivo://cds.vizier/j/apjs/80/479	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/80/479	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:1992ApJS...80..479T	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=1992	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/80/479	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.20800479	    Dataset identifier that can be used for citation
#INFO	publication_date=2000-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_80_479_table1:
#Name: J/ApJS/80/479/table1
#Title: Galaxies with distance estimates
#Column	Link	(A3)	Designation of the Group	[ucd=]
#Column	Group	(a7)	Group identification (1)	[ucd=meta.id;meta.main]
#Column	Gal	(a10)	Galaxy identification (2)	[ucd=meta.id]
#Column	Memb	(I3)	? Group members (3)	[ucd=meta.id]
#Column	Ngal	(I2)	Number of total galaxies	[ucd=meta.number]
#Column	Ngal2	(I2)	? Number of galaxies with distance estimates when this number is different of Ngal (4)	[ucd=meta.number]
#Column	Dist	(F4.1)	? Distance (5)	[ucd=pos.distance]
#Column	Vel	(I4)	? Velocity (6)	[ucd=phys.veloc;pos.heliocentric]
#Column	note	(A1)	Note (7)	[ucd=meta.note]
Link	Group	Gal	Memb	Ngal	Ngal2	Dist	Vel	note
 	 	 	 	 	 	Mpc	km/s	
---	-------	----------	---	--	--	----	----	-
Gr1	11-1   	Virgo     	130	92	26	15.6	1016	
Gr1	11-0+1 	U  8036   	  1	 1	  	16.8	 893	
Gr1	11+2   	          	 18	 2	  	12.9	 750	
Gr1	11+2   	N  4713   	   	 1	  	10.9	    	
Gr1	11+2   	N  4808   	   	 1	  	14.8	    	
Gr1	11-3   	N  4532   	  2	 1	  	13.6	1920	
Gr1	11-4   	N  4536   	  7	 1	  	10.2	1576	
Gr1	11-12  	N  4951   	  3	 1	  	 9.7	1007	
Gr1	11-14  	N  4594   	  5	 3	  	12.6	 838	
Gr1	11-18  	N  5170   	  2	 1	  	33.7	1282	#
Gr1	11-19  	N  5042   	  2	 1	  	10.7	1270	#
Gr1	11-32  	N  5161   	  2	 1	  	18.5	2183	
Gr1	11-35  	1355-29   	  3	 1	  	26.3	2484	
Gr1	11-0   	N  4939   	  1	 1	  	25.3	2973	
Gr1	12-1   	Ursa Major	 57	96	26	15.5	 967	
Gr1	12-0+1 	N  3359   	  1	 1	  	12.0	1131	
Gr1	12-0+1 	U  8146   	  1	 1	  	14.1	 805	
Gr1	12-0+1 	N  3556   	  1	 4	  	 8.6	 785	
Gr1	12-3   	          	  9	 2	  	19.3	1352	
Gr1	12-3   	N  3733   	   	 1	  	21.6	    	
Gr1	12-3   	N  3756   	   	 1	  	16.9	    	
Gr1	12-6   	N  4145   	  9	 4	  	10.9	1020	
Gr1	12-7   	N  3027   	  4	 1	  	17.9	1310	
Gr1	12-10  	N  2591   	  4	 1	  	15.4	1500	
Gr1	12-0+19	U  3439   	  1	 1	  	18.0	1685	
Gr1	12-0   	U  3580   	  1	 1	  	13.0	1356	
Gr1	12-0   	U  4888   	  1	 1	  	25.2	2417	
Gr1	13-1   	          	  4	 2	  	17.0	1190	
Gr1	13-1   	N  3079   	   	 1	  	17.3	    	
Gr1	13-1   	U  5459   	   	 1	  	16.8	    	
Gr1	13-7   	          	  4	 2	  	24.3	1476	
Gr1	13-7   	N  3755   	   	 1	  	26.9	    	
Gr1	13-7   	N  3813   	   	 1	  	21.7	    	
Gr1	13-0   	N  3225   	  1	 1	  	28.5	2227	
Gr1	14-1   	          	 25	11	 5	12.9	 911	
Gr1	14-1   	N  4062   	   	 1	  	13.5	    	
Gr1	14-1   	N  4359   	   	 1	  	14.2	    	
Gr1	14-1   	N  4414   	   	 1	  	19.4	    	
