name	ra_deg	dec_deg	t_type	redshift	distance_mpc	z_origin	source	catalogs
UGC12892        	0.1045	7.8538333	2.0				2mig	2mig
UGC12917        	0.4679167	40.3363611	3.0				2mig	2mig
PGC130018       	0.5130833	-45.358	3.0	0.03882352504011292		velocity	2mig	2mig
PGC262          	0.9529583	-43.6182778	2.0	0.03027427728018428		velocity	2mig	2mig,mwa_2mig_barred
PGC941042       	1.0449167	-13.2219444	3.0	0.03906035554770361		velocity	2mig	2mig,mwa_2mig_barred
IC1528          	1.2723333	-7.0934167	3.0	0.01256869510706637		velocity	2mig	2mig,mwa_2mig_barred
UGC00067        	2.0610833	7.7801944	2.0	0.039470639384797335		velocity	2mig	2mig,m  wa_2mig_barred
MCG-02-01-028   	2.1428333	-10.9494167	2.0	0.030384353431599672		velocity	2mig	2mig,mwa_2mig_barred
NGC0010         	2.143875	-33.8583056	3.0	0.022702372319186228		velocity	2mig	2mig,mwa_2mig_barred
NGC0009         	2.2279583	23.8169167	3.0	0.015100446589620344		velocity	2mig	2mig,mwa_2mig_barred
ESO349-033      	2.264375	-32.9141389	3.0	0.022989237441056642		velocity	2mig	2mig,mwa_2mig_barred
UGC00081        	2.2675417	10.9189167	3.0	0.02226206771352467		velocity	2mig	2mig,mwa_2mig_barred
CGCG499-061     	2.567125	32.1061944	3.0	0.06461803652178602		velocity	2mig	2mig,mwa_2mig_barred
IC0002          	2.753375	-12.8223889	2.0	0.022598967449674802		velocity	2mig	2mig,mwa_2mig_barred
NGC0053         	3.6782917	-60.3284722	2.0	0.015250550432459513		velocity	2mig	2mig,mwa_2mig_barred
ESO111-022      	3.818625	-57.2447778	3.0	0.0326892813294189		velocity	2mig	2mig,mwa_2mig_barred
UGC00158        	4.271125	42.1613889	3.0	0.0168950214217864		velocity	2mig	2mig,mwa_2mig_barred
IC0009          	4.9333333	-14.1217778	3.0	0.04210246009591075		velocity	2mig	2mig,mwa_2mig_barred
IC1540          	4.9530833	23.7726111	3.0	0.01943677982719632		velocity	2mig	2mig,mwa_2mig_barred
MCG-01-02-001   	5.00025	-6.3336944	2.0	0.01237189229089946		velocity	2mig	2mig,mwa_2mig_barred
MCG-02-02-005   	5.4629583	-9.49225	3.0	0.02090446184606819		velocity	2mig	2mig,mwa_2mig_barred,ofek2017
ESO111-026      	5.7962083	-59.6174722	2.0	0.029823965751666775		velocity	2mig	2mig,mwa_2mig_barred
UGC00243        	6.374625	45.9216944	3.0	0.0169317134722582		velocity	2mig	2mig,mwa_2mig_barred
