#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:54:43 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:54:43	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/814/40/table1&-order=I&-out=Target&-out=RAJ2000&-out=DEJ2000&-out=z&-out=PID&-out=PI&-out=Dataset&-out=Date&-out=Exp&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18140040
#Name: J/ApJ/814/40
#Title: Nearby galaxy filaments with UV obs. (Wakker+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/814/40	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/814/40	    IVOID of underlying data collection
#INFO	creator=Wakker B.P.	    First author or institution
#INFO	cites=bibcode:2015ApJ...814...40W	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/814/40	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18140040	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_814_40_table1:
#Name: J/ApJ/814/40/table1
#Title: Observations of the 24 targets
#Column	Target	(a15)	Target name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	[14/18] Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	[53/71] Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.02/1] Redshift	[ucd=src.redshift]
#Column	PID	(I5)	[8015/12486] HST proposal ID	[ucd=meta.id;obs]
#Column	PI	(A7)	Program PI	[ucd=obs.observer]
#Column	Dataset	(A6)	HST dataset	[ucd=meta.dataset]
#Column	Date	(A10)	Observation date	[ucd=time.epoch;obs]
#Column	Exp	(F4.1)	[0.6/26.5] Time exposure	[ucd=time.epoch;obs.exposure]
Target	RAJ2000	DEJ2000	z	PID	PI	Dataset	Date	Exp
 	"h:m:s"	"d:m:s"	 	 	 	 	"Y:M:D"	s
---------------	----------	---------	-------	-----	-------	------	----------	----
3C309.1        	14 59 07.6	+71 40 20	 0.9050	12486	Bowen  	LBP240	2012-03-27	 9.4
3C309.1        	14 59 07.6	+71 40 20	 0.9050	12486	Bowen  	LBP245	2012-03-29	 9.4
3C351.0        	17 04 41.4	+60 44 31	 0.3719	 8015	Jenkins	O57901	1999-06-27	19.8
3C351.0        	17 04 41.4	+60 44 31	 0.3719	 8015	Jenkins	O57903	1999-06-29	14.4
3C351.0        	17 04 41.4	+60 44 31	 0.3719	 8015	Jenkins	O57902	2000-02-10	18.6
3C351.0        	17 04 41.4	+60 44 31	 0.3719	 8015	Jenkins	O57904	2000-07-25	26.5
4C63.22        	15 23 45.9	+63 39 24	 0.2040	12276	Wakker 	LBI601	2011-08-14	 1.9
FBS1526+659    	15 27 28.5	+65 48 10	 0.3450	12276	Wakker 	LBI603	2011-05-02	 2.0
H1821+643      	18 21 57.2	+64 20 36	 0.2970	11484	Hartig 	LABO06	2009-07-26	 0.6
H1821+643      	18 21 57.2	+64 20 36	 0.2970	12038	Green  	LBGL33	2012-07-06	11.5
Kaz447         	17 03 28.9	+61 41 09	 0.0773	12276	Wakker 	LBI618	2011-10-05	 5.2
Mrk290         	15 35 52.3	+57 54 09	 0.0296	11524	Green  	LB4Q02	2009-10-28	 3.9
Mrk486         	15 36 38.3	+54 33 33	 0.0389	12276	Wakker 	LBI607	2011-12-18	 5.0
Mrk817         	14 36 22.1	+58 47 40	 0.0315	11505	Noll   	LACD01	2009-08-04	 2.2
Mrk817         	14 36 22.1	+58 47 40	 0.0315	11524	Green  	LB4Q01	2009-12-28	 1.3
Mrk876         	16 13 57.2	+65 43 10	 0.1290	11686	Arav   	LB4F05	2010-04-09	 3.1
Mrk876         	16 13 57.2	+65 43 10	 0.1290	11524	Green  	LB4Q03	2010-04-08	 9.5
PG1626+554     	16 27 56.2	+55 22 32	 0.1330	12029	Green  	LBGB01	2011-06-15	 3.3
RBS1483        	15 19 21.6	+59 08 24	 0.0781	12276	Wakker 	LBI612	2011-06-25	 1.9
RBS1503        	15 29 07.5	+56 16 06	 0.0990	12276	Wakker 	LBI614	2010-11-26	 2.0
RX J1500.5+5517	15 00 30.8	+55 17 09	 0.4048	12276	Wakker 	LBI602	2011-05-11	 8.4
RX J1503.2+6810	15 03 16.5	+68 10 06	 0.1140	12276	Wakker 	LBI609	2010-12-31	 1.9
RX J1508.8+6814	15 08 52.8	+68 14 07	 0.0586	12276	Wakker 	LBI608	2010-12-05	 1.9
