#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:54:27 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:54:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/814/40/table2&-order=I&-out=Target&-out=Gal&-out=Lya1&-out=Lya2&-out=cz&-out=DelV1&-out=DelV2&-out=rho&-out=Diam&-out=L/L*&-out=Rvir&-out=rho/R&-out=Type&-out=SimbadName&-out=NED&NED=NED&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18140040
#Name: J/ApJ/814/40
#Title: Nearby galaxy filaments with UV obs. (Wakker+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/814/40	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/814/40	    IVOID of underlying data collection
#INFO	creator=Wakker B.P.	    First author or institution
#INFO	cites=bibcode:2015ApJ...814...40W	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/814/40	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18140040	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_814_40_table2:
#Name: J/ApJ/814/40/table2
#Title: Galaxies between 2400 and 4800km/s within 1Mpc of each sightline
#Column	Target	(a15)	Target name	[ucd=obs.field]
#Column	Gal	(a23)	Galaxy name or "Filament axis"	[ucd=meta.id;meta.main]
#Column	Lya1	(I4)	? Ly{alpha} line detected; velocity of the absorber (1)	[ucd=spect.line.width]
#Column	Lya2	(I4)	? Other Ly{alpha} line detected; velocity of the absorber (1)	[ucd=spect.line.width]
#Column	cz	(I4)	[2420/4429] cz redshift	[ucd=phys.veloc;pos.heliocentric]
#Column	DelV1	(I5)	[-1180/1105]? {Delta}{nu} for Lya1 (1)(2)	[ucd=phys.veloc;arith.diff]
#Column	DelV2	(I4)	[-664/487]? {Delta}{nu} for Lya2 (1)	[ucd=phys.veloc;arith.diff]
#Column	rho	(I4)	[91/6208] Impact parameter {rho}	[ucd=src.impactParam]
#Column	Diam	(F4.1)	[1/55.6]? Diameter	[ucd=pos.distance]
#Column	L/L*	(F5.2)	[0/4.9]? Luminosity	[ucd=phys.luminosity]
#Column	Rvir	(I3)	[3/277]? Virial radius	[ucd=phys.size.radius]
#Column	rho/R	(F6.1)	[1/1384.9]? Impact parameter to virial radius ratio	[ucd=src.impactParam;arith.ratio]
#Column	Type	(a7)	Galaxy type	[ucd=src.morph.type]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from SIMBAD or from SDSS names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD or from SDSS names (declination part)	[ucd=pos.eq.dec;meta.main]
Target	Gal	Lya1	Lya2	cz	DelV1	DelV2	rho	Diam	L/L*	Rvir	rho/R	Type	SimbadName	NED	_RA	_DE
 	 	km/s	km/s	km/s	km/s	km/s	kpc	kpc	Lsun	kpc	 	 	 	 	deg	deg
---------------	-----------------------	----	----	----	-----	----	----	----	-----	---	------	-------	--------------------------	---	---------	---------
3C309.1        	Filament Axis          	    	    	3600	     	    	3908	    	     	   	      	       	                          	NED	         	
3C309.1        	IC1110                 	    	    	3373	     	    	3854	24.6	 0.86	158	  24.3	Sa     	IC1110                    	NED	228.02138	+67.36276
3C309.1        	UGC09734               	    	    	3341	     	    	4756	19.9	 0.55	137	  34.7	Sm     	UGC09734                  	NED	226.72746	+66.17578
3C309.1        	CGCG338-038            	    	    	3827	     	    	4737	15.9	 0.34	117	  40.3	       	Z 338-038                 	NED	240.27150	+71.49443
3C351.0        	Filament Axis          	3597	3459	3600	   -3	-141	 569	    	     	   	      	       	                          	NED	         	
3C351.0        	Mrk0892                	    	    	3617	  -20	-158	 179	12.9	 0.22	101	   1.8	Pair   	Mrk0892                   	NED	256.56592	+60.70521
3C351.0        	NGC6307                	    	    	3057	     	    	 284	22.7	 0.72	149	   1.9	PSBS0P.	NGC6307                   	NED	256.91852	+60.75089
3C351.0        	NGC6306                	    	    	2973	     	    	 271	19.3	 0.51	134	   2.0	.SBS2P*	NGC6306                   	NED	256.90378	+60.72866
3C351.0        	NGC6310                	    	    	3419	     	    	 406	34.5	 1.76	200	   2.0	.S..3* 	NGC6310                   	NED	256.98932	+60.99006
3C351.0        	NGC6292                	    	    	3411	     	    	 375	22.4	 0.70	148	   2.5	.S..4..	NGC6292                   	NED	255.76437	+61.04392
3C351.0        	SDSSJ170327.95+610631.5	    	    	3313	     	    	 333	 9.2	 0.11	 81	   4.1	       	SDSS J170328.15+610631.7  	NED	255.86646	+61.10875
3C351.0        	2MASXJ17071270+6055144 	    	    	3099	  360	    	 280	 3.6	 0.01	 42	   6.5	H II   	2MASXJ17071270+6055144    	NED	256.80295	+60.92067
3C351.0        	SBS1700+603            	    	    	3736	     	    	 616	 9.6	 0.12	 83	   7.4	       	SBSG1700+603              	NED	255.30403	+60.25135
3C351.0        	SDSSJ171138.94+604341.8	    	    	3855	     	    	 828	 8.3	 0.08	 75	  11.0	       	SDSS J171138.96+604341.5  	NED	257.91225	+60.72828
3C351.0        	SDSSJ171140.34+604115.6	    	    	3350	     	    	 727	 5.5	 0.04	 57	  12.7	       	SDSS J171140.34+604115.5  	NED	257.91808	+60.68767
3C351.0        	UGC10745               	    	    	3059	     	    	 700	 2.7	 0.01	 35	  19.8	Sdm    	UGC10745                  	NED	257.54367	+61.35014
4C63.22        	Filament Axis          	2420	    	3600	-1180	    	2333	    	     	   	      	       	                          	NED	         	
4C63.22        	KHG1-C07               	    	    	2548	     	    	2413	 1.0	 0.00	  3	 679.2	       	KHG1-C07                  	NED	234.06250	+60.33667
4C63.22        	SBS1543+593            	    	    	2698	     	    	3564	 1.0	 0.00	  3	1003.3	dwarf  	SBSG1543+593              	NED	236.08458	+59.20672
4C63.22        	KHG1-C09               	    	    	2848	     	    	3593	 1.0	 0.00	  3	1011.5	Comp   	KHG1-C09                  	NED	238.60833	+60.35500
FBS1526+659    	Filament Axis          	3476	    	3600	 -124	    	 369	    	     	   	      	       	                          	NED	         	
FBS1526+659    	KHG1-C07               	    	    	2548	     	    	3693	 1.0	 0.00	  3	1039.8	       	KHG1-C07                  	NED	234.06250	+60.33667
FBS1526+659    	KHG1-C09               	    	    	2848	     	    	4593	 1.0	 0.00	  3	1293.1	Comp   	KHG1-C09                  	NED	238.60833	+60.35500
FBS1526+659    	SBS1543+593            	    	    	2698	     	    	4821	 1.0	 0.00	  3	1357.3	dwarf  	SBSG1543+593              	NED	236.08458	+59.20672
