Name	RAJ2000, deg	DEJ2000, deg	logSFRSED, [Msun/yr]	logSFRW3, [Msun/yr]	logSFRW4, [Msun/yr]	SimbadName
UGC00280	7.086	-0.218	0.69	0.62	0.6	UGC00280
PGC1142317	19.502	-0.479	0.76	0.86	0.85	PGC1142317
PGC1159961	36.135	0.213	0.56	0.72	0.88	PGC1159961
PGC1132401	55.233	-0.88	0.36	0.58	0.99	PGC1132401
PGC2351360	117.193	49.72	0.12	0.35	0.1	PGC2351360
PGC2371758	117.728	50.395		0.97	1.05	PGC2371758
2MASXJ08012000+1548016	120.333	15.8				2MASXJ08012000+1548016
PGC1998274	120.443	32.466	0.68	1.16	0.9	PGC1998274
PGC1322486	122.373	7.465	0.56	0.91	1.08	PGC1322486
PGC2253428	124.592	44.849	1.19	1.51	1.62	PGC2253428
PGC1494265	124.95	15.827		0.08		PGC1494265
PGC1417269	125.619	12.843	0.5	1.09	1.07	PGC1417269
PGC1336309	125.873	7.996	0.66	0.64	0.61	2MASXJ08232946+0759461
PGC023758	127.092	30.443	0.32	-0.56	-0.61	PGC023758
PGC1411527	129.501	12.547	0.17	0.32	0.41	PGC1411527
PGC1397464	130.642	11.699	-0.05	0.25	0.34	PGC1397464
PGC2142424	130.929	39.052	0.52	0.93	0.94	PGC2142424
PGC2149228	132.96	39.406	0.48	0.29	-0.1	PGC2149228
PGC1273637	133.178	4.813	0.74	0.94	0.98	2MASXJ08524279+0448460
PGC1799766	133.589	27.167	0.51	0.68	0.43	PGC1799766
PGC2028924	136.219	33.303	0.47	0.39	0.46	PGC2028924
2MASXJ09184400+2706421	139.684	27.112	0.41	0.88	1.03	2MASXJ09184400+2706421
PGC2661969	139.795	63.867	0.61	0.64	0.48	PGC2661969
PGC1304957	144.477	6.654	0.53	0.78	0.96	PGC1304957
PGC027881	146.045	39.642	1.31	1.37	1.45	PGC027881
PGC1194627	146.108	1.429	0.84	1.04	1.1	PGC1194627
PGC2307039	146.536	47.925	0.73	0.62	0.6	PGC2307039
PGC1457524	146.556	14.416	0.54	0.94	1	2MASXJ09461351+1424580
PGC028344	147.739	43.687	0.54	0.62	0.46	PGC028344
PGC1240538	148.339	2.906	0.6			PGC1240538
PGC1883089	151.061	29.919	0.6	0.62		PGC1883089
PGC029356	151.534	50.24	0.25	0.54	0.34	PGC029356
PGC2242844	153.99	44.374				PGC2242844
PGC1815459	154.74	27.695		0.35	-1.05	PGC1815459
PGC2264390	154.741	45.403	0.66	0.92	1.04	SDSSJ101857.89+452410.7
PGC030215	155.07	1.204	0.28	0.74	0.61	PGC030215
PGC030295	155.36	38.296	0.67	0.89	1.04	PGC030295
PGC030730	156.806	48.245	0.5	0.69	0.45	PGC030730
PGC2262295	157.194	45.284	0.84	1.03	1.05	PGC2262295
PGC2103496	158.034	37.55	0.75			PGC2103496
PGC1452473	158.581	14.222	0.78	0.95	1.01	PGC1452473
PGC2162364	158.743	40.21		0.48	0.42	PGC2162364
PGC1564282	162.519	18.597	0.56			PGC1564282
PGC2042151	162.545	33.992	0.67	0.64	0.58	PGC2042151
PGC032507	162.714	17.83	0.38	0.76	0.45	PGC032507
PGC2094910	162.731	37.193	0.31	0.68	0.84	PGC2094910
PGC1568797	163.51	18.741	0.52	0.71	0.56	PGC1568797
PGC2569791	164.291	57.679	0.32	0.5	0.48	PGC2569791
2MASXJ11012239+2127210	165.343	21.456	0.73	1.45	1.42	2MASXJ11012239+2127210
PGC1171924	165.497	0.659	0.65	0.83	0.71	PGC1171924
PGC1282198	166.289	5.36	0.68	0.93	0.8	PGC1282198
PGC1723096	167.109	25.021		0.33	0.7	PGC1723096
UGC06211	167.626	55.17		0.69	0.44	UGC06211
PGC1613676	167.639	20.021	0.85	0.81	0.95	PGC1613676
PGC2622371	169.372	61.671	0.72	0.82	0.89	PGC2622371
PGC1788213	171.818	26.783	0.42	0.74	0.62	PGC1788213
PGC035334	172.171	57.835		1.05	1.16	PGC035334
PGC1541675	173.286	17.787	0.63	0.74	0.62	PGC1541675
PGC2268753	174.739	45.676	0.8			PGC2268753
PGC1521447	175.241	16.971	0.56			PGC1521447
PGC1591614	177.129	19.419				PGC1591614
PGC036879	177.189	35.786	0.86	1.08	0.97	PGC036879
PGC1266878	177.303	4.34	0.43	0.63	0.46	PGC1266878
PGC2232817	177.794	43.942	0.34	0.55	0.21	2MASXJ11511067+4356331
PGC1183696	177.838	1.073	0.74	0.81	0.77	PGC1183696
PGC037509	179.067	52.513		0.86	0.77	PGC037509
PGC2488466	179.196	55.037		0.57	0.78	PGC2488466
PGC1202954	179.87	1.696	0.78	0.75	0.87	PGC1202954
2MASXJ12003827+2006320	180.16	20.109	0.9	1.12	1.09	2MASXJ12003827+2006320
PGC2246280	181.035	44.529	0.21	0.46	0.28	PGC2246280
PGC2050907	183.322	34.552		0.78	0.57	PGC2050907
PGC1347034	184.27	8.446	0.28	0.6	0.39	PGC1347034
PGC2178616	185.661	41.284	0.56	0.65	0.58	PGC2178616
PGC1282163	186.046	5.358	0.74	0.9	0.42	PGC1282163
PGC1320905	186.277	7.402	0.31	0.13	0.22	PGC1320905
PGC2211440	186.421	43.031	0.15	0.39	0.12	PGC2211440
PGC2068147	187.953	35.669	0.76			PGC2068147
PGC042976	191.34	61.694	0.65	0.95	0.8	PGC042976
PGC1211744	191.417	1.968	0.34	0.67	0.88	PGC1211744
PGC1191891	191.461	1.341		0.92	0.96	PGC1191891
PGC1136650	191.68	-0.71	0.63	0.74	0.71	PGC1136650
PGC2116441	192.936	38.045		1.43	1.34	2MASXJ12514472+3802426
PGC1110188	194.86	-1.783	0.62	0.72	0.3	PGC1110188
PGC3141208	195.285	67.965	0.4	0.45	0.29	PGC3141208
2MASXJ13010937+1929390	195.289	19.494	0.34	0.55	0.41	2MASXJ13010937+1929390
PGC1745703	195.484	25.684	0.5	1.17	1.23	PGC1745703
UGC08171	196.166	18.424	0.77	0.73	0.56	UGC08171
PGC2393306	196.178	51.391	0.2	0.35	0.39	PGC2393306
PGC1071599	196.698	-3.415	0.34			PGC1071599
PGC2151197	196.709	39.519	0.34	0.28	0.04	PGC2151197
PGC094053	197.704	26.274	0.44	0.56	0.34	PGC094053
PGC2229255	197.745	43.794	0.57	0.76	0.56	PGC2229255
PGC1706801	199.118	24.416	0.84	0.95	0.86	PGC1706801
PGC2249172	199.774	44.659	0.79	0.92	0.78	PGC2249172
