ra_deg	dec_deg	name	r_arcsec	ks_mag	"2s, Dimensionless ""separation"" between isolated galaxy and its nearest significant neighbour"	hrv_kms	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	comment	redshift	morph_type	poly_source	logSFR_sed	logSFR_w3	logSFR_w4	SimbadName	luminosity_class	yerkes_class	nuclear_class	mu0	diameter_b25_kpc	diameter_be_kpc	ring_diameter_kpc	abs_mag_b	color_bv	kbi	concentration_c31	luminosity_index	HI	mean_sb_be	MaNGA ID	Plate	IFU	logMstar	bt_r	logSFR_global	Distance (Mpc)	Inclination (°)	R₂₅ (kpc)	log R₂₅	M⋆ (10¹⁰ M☉)	V_rot (km/s)	log V_rot	12+log(O/H)₀	12+log(O/H)_R₂₅	Gradient (dex/R₂₅)	log M_BH (M☉)
0.5130833	-45.358	PGC130018	17.9	11.51	76.0	11639.0	3.0			0.03882352504	SB	2mig																																			
0.9529583	-43.6182778	PGC262	18.8	11.73	74.0	9076.0	2.0		AM0001-435	0.03027427728	SAB	2mig																																			
1.0449167	-13.2219444	PGC941042	17.2	11.89	63.0	11710.0	3.0	2.0		0.03906035555	SB	2mig																																			
1.2723333	-7.0934167	IC1528	41.4	10.39	94.0	3768.0	3.0	2.0	HII	0.01256869511	SB	2mig																																			
2.0610833	7.7801944	UGC00067	32.1	10.4	78.0	11833.0	2.0		Ring	0.03947063938	SAB	2mig																																			
2.1428333	-10.9494167	MCG-02-01-028	20.5	11.84	101.0	9109.0	2.0	1.0	Bar,ring	0.03038435343	SAB	2mig																																			
2.143875	-33.8583056	NGC0010	56.0	9.48	67.0	6806.0	3.0		Bar,IRAS,Vc	0.02270237232	SB	2mig																																			
2.2279583	23.8169167	NGC0009	22.2	11.8	125.0	4527.0	3.0		Pec,HII,KIG6,IRAS	0.01510044659	SB	2mig																																			
2.264375	-32.9141389	ESO349-033	26.0	10.99	61.0	6892.0	3.0	2.0	IRAS	0.02298923744	SB	2mig																																			
2.2675417	10.9189167	UGC00081	29.3	10.72	76.0	6674.0	3.0	3.0		0.02226206771	SB	2mig																																			
2.567125	32.1061944	CGCG499-061	15.3	11.72	71.0	19372.0	3.0	1.0		0.06461803652	SB	2mig																																			
2.753375	-12.8223889	IC0002	20.3	11.24	80.0	6775.0	2.0		IRAS	0.02259896745	SAB	2mig																																			
3.6782917	-60.3284722	NGC0053	38.8	10.3	112.0	4572.0	2.0		Bar,ring	0.01525055043	SAB	2mig																																			
3.818625	-57.2447778	ESO111-022	22.0	11.13	72.0	9800.0	3.0		Ring,Vc	0.03268928133	SB	2mig																																			
4.271125	42.1613889	UGC00158	19.1	11.69	65.0	5065.0	3.0			0.01689502142	SB	2mig																																			
4.9333333	-14.1217778	IC0009	15.3	11.36	87.0	12622.0	3.0	1.0	Ring,Sy2,HII,IRAS	0.0421024601	SB	2mig																																			
4.9530833	23.7726111	IC1540	28.3	10.85	65.0	5827.0	3.0		Bar	0.01943677983	SB	2mig																																			
5.00025	-6.3336944	MCG-01-02-001	24.2	11.38	73.0	3709.0	2.0		Bar,pec	0.01237189229	SAB	2mig																																			
5.4629583	-9.49225	MCG-02-02-005	20.8	11.37	113.0	6267.0	3.0	1.0	Ring,IRAS	0.02090446185	SB	2mig																																			
5.7962083	-59.6174722	ESO111-026	17.0	11.36	102.0	8941.0	2.0	1.0		0.02982396575	SAB	2mig																																			
6.374625	45.9216944	UGC00243	57.8	9.61	78.0	5076.0	3.0		IRAS,Vc	0.01693171347	SB	2mig																																			
6.5726667	-4.4923056	MCG-01-02-014	31.2	10.98	92.0	3983.0	2.0		Bar,pec,HII,IRAS	0.01328585791	SAB	2mig																																			
6.624	-60.0561111	PGC127809	21.4	11.33	83.0	4749.0	3.0	1.0	AM0024-602,IRAS	0.01584095888	SB	2mig																																			
7.0742917	-9.4928611	MCG-02-02-020	18.8	11.91	61.0	16959.0	3.0			0.0565691349	SB	2mig																																			
7.6825833	-59.0071667	ESO112-006	15.5	11.44	72.0	8642.0	2.0	1.0	IRAS	0.02882660911	SAB	2mig																																			
8.6025417	12.2685	IC0031	32.4	10.37	79.0	9515.0	2.0	1.0		0.03173862366	SAB	2mig																																			
9.3396667	-19.9342222	NGC0171	64.5	9.39	62.0	3884.0	2.0		Bar,ring,VV791A,IRAS	0.01295562946	SAB	2mig																																			
9.6655417	17.4031389	UGC00393	19.2	11.38	91.0	5432.0	3.0		Vc	0.01811920165	SB	2mig																																			
9.8972917	-47.29125	2MFGC472	15.7	11.86	82.0	10114.0	3.0	1.0		0.03373667259	SB	2mig																																			
10.8572917	-50.1827778	NGC0238	53.1	10.06	96.0	8614.0	3.0		Bar,ring,IRAS,Vc	0.02873321116	SB	2mig																																			
11.8031667	29.1363889	2MFGC00567	16.5	11.34	71.0	5706.0	2.0		IRAS,Vc	0.01903316727	SAB	2mig																																			
12.5938333	11.7104444	UGC00513	16.3	11.86	66.0	11901.0	3.0	1.0		0.03969746297	SB	2mig																																			
13.3837917	-58.1071111	IC1597	21.0	11.93	67.0	5053.0	3.0	2.0	Bar,pec,ring	0.01685499373	SB	2mig																																			
13.6784167	21.5226389	IC1596	18.9	11.63	90.0	2675.0	3.0	1.0	KIG39	0.008922839547	SB	2mig																																			
14.406625	-48.9026389	IC1605	37.3	10.38	83.0	7440.0	3.0		Bar,ring,Vc	0.02481716868	SB	2mig																																			
14.6005833	48.6618889	UGC00600	21.1	10.93	79.0	6813.0	3.0	1.0	Bar,IRAS	0.02272572181	SB	2mig																																			
16.7982917	10.8368056	IC0075	17.1	11.44	78.0	12324.0	3.0	1.0		0.04110843909	SB	2mig																																			
17.261	-37.2888056	ESO296-002	26.0	10.73	63.0	6584.0	2.0		Bar,ring,HII,IRAS	0.02196186003	SAB	2mig																																			
17.8425417	-29.2345	NGC0423	30.4	10.58	86.0	1596.0	2.0	3.0	Pec,IRAS	0.005323682959	SAB	2mig																																			
19.534125	-2.5676667	MCG-01-04-024	15.4	11.83	105.0	5339.0	2.0	1.0		0.01780898704	SAB	2mig																																			
21.103	-24.1132778	MCG-04-04-007	21.0	11.48	91.0	11195.0	3.0	3.0	Bar,IRAS	0.03734250046	SB	2mig																																			
21.22	-11.58925	MCG-02-04-044	19.6	10.77	71.0	10260.0	3.0		IRAS	0.03422367617	SB	2mig																																			
22.9254167	-0.9328889	NGC0585	54.2	9.46	67.0	5431.0	2.0		IRAS,Vc	0.01811586601	SAB	2mig																																			
